,symbol,date,open,close,volume,high,low
0,ALXN,2018-07-23,124.17,134.58,18451645,137.9,122.0
1,ALXN,2018-06-29,117.02,124.15,27311854,128.64,115.67
2,ALXN,2018-05-31,116.91,116.13,32347338,123.48,111.84
3,ALXN,2018-04-30,110.41,117.63,45228213,123.256,102.1
4,ALXN,2018-03-29,116.06,111.46,52039480,137.88,107.51
5,ALXN,2018-02-28,118.45,117.45,39505785,125.3,104.951
6,ALXN,2018-01-31,121.63,119.32,37978282,129.15,118.0
7,ALXN,2017-12-29,109.31,119.59,39155797,121.195,105.01
8,ALXN,2017-11-30,119.97,109.81,42891234,120.49,106.34
9,ALXN,2017-10-31,140.0,119.66,44359570,144.91,119.15
10,ALXN,2017-09-29,142.0,140.29,32749200,149.34,136.82
11,ALXN,2017-08-31,138.33,142.41,29292948,142.98,131.15
12,ALXN,2017-07-31,121.83,137.34,37619011,142.47,117.17
13,ALXN,2017-06-30,97.87,121.67,73676205,130.02,97.87
14,ALXN,2017-05-31,128.0,98.03,84611538,133.67,96.18
15,ALXN,2017-04-28,121.52,127.78,37156007,128.74,113.42
16,ALXN,2017-03-31,132.5,121.24,40254791,135.86,115.58
17,ALXN,2017-02-28,128.5,131.25,44424804,138.21,125.2
18,ALXN,2017-01-31,123.19,130.68,48973929,145.0,122.13
19,ALXN,2016-12-30,122.78,122.35,75684188,134.06,109.12
20,ALXN,2016-11-30,130.57,122.59,72041565,145.415,111.665
21,ALXN,2016-10-31,122.41,130.5,32985505,136.25,116.75
22,ALXN,2016-09-30,125.9,122.54,31231286,133.88,119.23
23,ALXN,2016-08-31,128.87,125.86,30595124,138.4,125.69
24,ALXN,2016-07-29,116.68,128.6,38074402,135.0,115.835
25,ALXN,2016-06-30,150.87,116.76,59538069,157.02,110.56
26,ALXN,2016-05-31,140.07,150.9,25208322,153.44,136.68
27,ALXN,2016-04-29,135.87,139.28,32922252,162.0,135.87
28,ALXN,2016-03-31,142.47,139.22,38917372,152.49,124.16
29,ALXN,2016-02-29,144.18,140.8,40673030,152.41,130.51
30,ALXN,2016-01-29,187.01,145.93,37684920,187.59,141.16
31,ALXN,2015-12-31,179.96,190.75,29173791,193.45,167.02
32,ALXN,2015-11-30,177.24,178.44,21879994,183.1,164.58
33,ALXN,2015-10-30,155.92,176.0,39538969,179.51,150.69
34,ALXN,2015-09-30,168.62,156.39,44117340,180.2,142.02
35,ALXN,2015-08-31,196.88,172.19,31512641,200.97,156.7111
36,ALXN,2015-07-31,182.59,197.44,35975878,208.88,181.0
37,ALXN,2015-06-30,165.3,180.77,51584726,191.0,157.13
38,ALXN,2015-05-29,170.66,163.84,56238298,175.0,150.06
39,ALXN,2015-04-30,172.3,169.23,28150312,189.18,166.72
40,ALXN,2015-03-31,180.34,173.3,28743549,193.27,171.53
41,ALXN,2015-02-27,184.01,180.37,21509829,188.345,171.08
42,ALXN,2015-01-30,186.64,183.24,29150360,189.7199,171.68
43,ALXN,2014-12-31,194.65,185.03,26640696,203.3,176.01
44,ALXN,2014-11-28,192.01,194.9,15177531,197.64,185.8
45,ALXN,2014-10-31,166.86,191.36,32829620,197.23,155.01
46,ALXN,2014-09-30,169.99,165.82,23196378,171.35,157.3
47,ALXN,2014-08-29,158.62,169.29,19480300,173.2499,154.56
48,ALXN,2014-07-31,157.81,158.99,28361200,173.7,154.38
49,ALXN,2014-06-30,163.95,156.25,25923600,172.5,154.78
50,ALXN,2014-05-30,157.56,166.32,22809300,171.03,147.81
51,ALXN,2014-04-30,153.21,158.2,41666000,163.5,136.37
52,ALXN,2014-03-31,174.77,152.13,45058700,181.5845,145.64
53,ALXN,2014-02-28,158.385,176.8,30864600,185.43,150.701
54,ALXN,2014-01-31,132.46,158.73,31511900,169.98,126.761
55,ALXN,2013-12-31,124.58,132.884,22257700,133.75,120.1401
56,ALXN,2013-11-29,124.06,124.5,19085800,124.8,113.14
57,ALXN,2013-10-31,116.8,122.95,25739900,126.389,100.89
58,ALXN,2013-09-30,109.34,116.16,16616000,116.91,108.27
59,ALXN,2013-08-30,117.55,107.76,17657100,118.4,103.02
60,ALXN,2013-07-31,93.73,116.19,50637800,121.47,93.335
61,ALXN,2013-06-28,97.89,92.24,30872200,98.44,87.012
62,ALXN,2013-05-31,98.0,97.58,25721200,108.13,95.68
63,ALXN,2013-04-30,91.07,98.0,42107600,100.776,88.86
64,ALXN,2013-03-28,86.74,92.14,30285200,94.48,86.09
65,ALXN,2013-02-28,94.75,86.74,47738100,98.59,81.82
66,ALXN,2013-01-31,96.15,93.99,32911800,103.2,91.3
67,ALXN,2012-12-31,96.24,93.74,23005500,97.8,90.08
68,ALXN,2012-11-30,90.43,96.02,30453500,97.16,86.2
69,ALXN,2012-10-31,114.52,90.38,31106800,119.539,90.24
70,ALXN,2012-09-28,106.76,114.4,17738700,116.43,105.7
71,ALXN,2012-08-31,105.56,107.21,23796600,109.14,100.56
72,ALXN,2012-07-31,100.0,104.85,33738000,109.96,94.8
73,ALXN,2012-06-29,88.59,99.3,33847700,99.7,86.64
74,ALXN,2012-05-31,90.7,90.57,66877400,94.36,81.278
75,ALXN,2012-04-30,93.0,90.32,20972900,93.97,87.01
76,ALXN,2012-03-30,84.13,92.86,30826400,95.01,82.63
77,ALXN,2012-02-29,76.95,83.73,26215000,87.63,75.0425
78,ALXN,2012-01-31,72.53,76.76,24511300,77.58,69.82
79,ALXN,2011-12-30,68.51,71.5,23702600,72.25,62.5
80,ALXN,2011-11-30,66.04,68.66,25059600,68.71,62.02
81,ALXN,2011-10-31,63.33,67.51,30956000,70.42,59.42
82,ALXN,2011-09-30,57.66,64.06,35653500,68.5,55.24
83,ALXN,2011-08-31,57.81,57.945,37104100,59.41,46.56
84,ALXN,2011-07-29,46.91,56.8,30948300,59.07,46.73
85,ALXN,2011-06-30,48.7,47.03,25627400,48.99,43.78
86,ALXN,2011-05-31,47.42,47.42,18820800,47.42,44.36
87,ALXN,2011-04-29,49.69,48.435,21526400,52.5,46.47
88,ALXN,2011-03-31,48.465,49.34,17825700,50.18,46.405
89,ALXN,2011-02-28,42.18,48.14,13742800,48.47,41.645
90,ALXN,2011-01-31,40.68,41.91,11743600,43.56965,40.04
91,ALXN,2010-12-31,38.39,40.275,17676800,41.81,37.465
92,ALXN,2010-11-30,34.295,38.225,21750700,38.82,33.48
93,ALXN,2010-10-29,32.285,34.15,20641200,36.225,31.43
94,ALXN,2010-09-30,28.73,32.18,14411800,32.69,28.665
95,ALXN,2010-08-31,27.355,28.235,12669600,29.335,27.03
96,ALXN,2010-07-30,25.595,27.18,16746400,27.495,24.305
97,ALXN,2010-06-30,24.745,25.595,17022700,27.57,24.42
98,ALXN,2010-05-28,27.485,25.015,17651600,27.9,22.59
99,ALXN,2010-04-30,27.265,27.44,10915700,28.59995,26.82
100,ALXN,2010-03-31,24.735,27.185,14481500,28.15,24.665
101,ALXN,2010-02-26,23.15,24.76,13133600,25.155,22.85
102,ALXN,2010-01-29,24.505,23.185,10658700,24.785,22.43
103,ALXN,2009-12-31,22.73,24.41,8824200,24.76,22.24
104,ALXN,2009-11-30,22.39,22.69,12220500,22.855,21.5
105,ALXN,2009-10-30,22.145,22.205,17096600,24.465,21.535
106,ALXN,2009-09-30,22.955,22.27,12613100,23.5,21.755
107,ALXN,2009-08-31,22.18,22.565,12764200,23.115,20.835
108,ALXN,2009-07-31,20.395,22.025,26066500,22.345,18.355
109,ALXN,2009-06-30,18.385,20.555,38363300,20.685,18.055
110,ALXN,2009-05-29,16.725,18.25,23697900,18.25,16.1275
111,ALXN,2009-04-30,18.455,16.71,25341100,19.16,16.44
112,ALXN,2009-03-31,17.0,18.83,22588000,19.755,15.39
113,ALXN,2009-02-27,18.24,17.1,21688300,20.295,16.96
114,ALXN,2009-01-30,17.705,18.435,19167000,18.995,17.02
115,ALXN,2008-12-31,16.42,18.095,17402400,18.215,15.0
116,ALXN,2008-11-28,20.365,16.83,25804900,21.5,14.08
117,ALXN,2008-10-31,19.54,20.375,31932100,21.645,16.5
118,ALXN,2008-09-30,22.82,19.65,30155000,23.385,17.96
119,ALXN,2008-08-29,47.0,22.54,19624000,47.955,21.085
120,ALXN,2008-07-31,18.0625,23.4375,21804500,23.7275,17.8625
121,ALXN,2008-06-30,17.75,18.125,10912400,18.4725,16.7125
122,ALXN,2008-05-30,17.5,17.8375,13013400,18.555,16.65
123,ALXN,2008-04-30,14.8,17.595,15541700,17.875,14.795
124,ALXN,2008-03-31,14.9925,14.825,19941000,15.2425,12.315
125,ALXN,2008-02-29,16.39,15.1525,25356200,18.6125,14.44
126,ALXN,2008-01-31,18.8075,16.33,19451100,19.5,15.4475
127,ALXN,2007-12-31,18.2525,18.7575,8856600,19.465,17.525
128,ALXN,2007-11-30,19.045,18.18,12348700,19.305,16.9875
129,ALXN,2007-10-31,16.2125,19.125,20076000,20.03,16.1925
130,ALXN,2007-09-28,15.2075,16.2875,11582500,16.957475,15.195
131,ALXN,2007-08-31,14.5,15.1175,23240300,16.9875,13.95
132,ALXN,2007-07-31,11.3175,14.54,24900700,15.06,11.3175
133,ALXN,2007-06-29,12.15,11.265,12511900,12.59,10.8725
134,ALXN,2007-05-31,10.625,12.1425,16054300,12.1425,10.2375
135,ALXN,2007-04-30,10.785,10.465,11629000,11.25,10.43
136,ALXN,2007-03-30,9.125,10.81,25356300,11.445,8.7825
137,ALXN,2007-02-28,10.4425,9.22,10098900,10.72,9.12
138,ALXN,2007-01-31,10.1225,10.3925,10045400,10.7425,9.655
139,ALXN,2006-12-29,10.8025,10.0975,8958800,11.2375,10.0575
140,ALXN,2006-11-30,9.36,10.805,17109300,11.4325,9.31
141,ALXN,2006-10-31,8.47,9.34,9587400,9.745,8.47
142,ALXN,2006-09-29,9.4175,8.495,8801700,9.5,8.01
143,ALXN,2006-08-31,8.535,9.3875,8360000,9.715,7.855
144,ALXN,2006-07-31,9.03,8.59,5383400,9.0775,8.0375
145,ALXN,2006-06-30,8.125,9.03,10112000,9.1925,7.875
146,ALXN,2006-05-31,8.5575,8.1275,7720500,8.64,7.4525
147,ALXN,2006-04-28,8.8425,8.4975,6063200,8.91,8.19
148,ALXN,2006-03-31,9.39,8.855,9906300,9.955,8.5375
149,ALXN,2006-02-28,7.245,9.395,17527000,9.6575,7.16
150,ALXN,2006-01-31,5.1025,7.205,24354300,7.4875,4.975
151,ALXN,2005-12-30,4.8875,5.0625,21433200,5.58,4.7825
152,ALXN,2005-11-30,6.8,4.8775,35063600,7.4775,4.5925
153,ALXN,2005-10-31,6.9375,6.8475,12175600,7.27,6.1
154,ALXN,2005-09-30,7.15,6.9125,5317800,7.5,6.665
155,ALXN,2005-08-31,6.525,7.15,8840300,7.25,6.3075
156,ALXN,2005-07-29,5.775,6.51,5357800,6.7325,5.7575
157,ALXN,2005-06-30,5.67,5.76,6414100,6.0275,5.3625
158,ALXN,2005-05-31,5.16,5.6875,5776300,6.0,5.07
159,ALXN,2005-04-29,5.4625,5.185,6335200,5.57,4.99
160,ALXN,2005-03-31,5.774946688206786,5.4162,7434000,5.8274462035541195,4.947454327255943
161,ALXN,2005-02-28,6.275,5.8375,6216300,6.74,5.7375
162,ALXN,2005-01-31,6.3125,6.185,11670500,6.355,5.51
163,ALXN,2004-12-31,5.14,6.3,5642600,6.5075,5.14
164,ALXN,2004-11-30,4.4725,5.17,3893600,5.3475,4.3175
165,ALXN,2004-10-29,4.517449369571309,4.4612,2781300,4.799946203418324,4.1524534603530405
166,ALXN,2004-09-30,4.095,4.5,3478800,4.6825,3.9325
167,ALXN,2004-08-31,3.95,4.09,4701900,4.155,3.325
168,ALXN,2004-07-30,4.6575,3.98,5529300,4.695,3.65
169,ALXN,2004-06-30,5.1175,4.65,5007700,5.2575,4.265
170,ALXN,2004-05-28,5.64,5.0125,3360200,5.8125,4.8425
171,ALXN,2004-04-30,5.8975,5.63,3195400,6.485,5.43
172,ALXN,2004-03-31,5.715,5.9425,5737900,6.535,5.18
173,ALXN,2004-02-27,4.55,5.7175,5480800,5.91,4.5275
174,ALXN,2004-01-30,4.315,4.54,2628600,4.8625,4.25
175,ALXN,2003-12-31,4.675,4.2525,4061700,5.205,4.125
176,ALXN,2003-11-28,4.6225,4.69,5058600,4.975,4.1175
177,ALXN,2003-10-31,4.155,4.645,4549100,5.41,4.145
178,ALXN,2003-09-30,3.54,4.2325,4783700,4.52,3.4225
179,ALXN,2003-08-29,4.23,3.5225,7864800,4.25,3.0075
