,symbol,date,open,close,volume,high,low
0,AMD,2018-07-23,14.8,16.66,681931933,17.0,14.74
1,AMD,2018-06-29,13.98,14.99,1632781786,17.34,13.92
2,AMD,2018-05-31,10.83,13.73,1020602826,13.95,10.77
3,AMD,2018-04-30,9.99,10.88,1163548135,11.36,9.04
4,AMD,2018-03-29,12.26,10.05,1471975349,12.82,9.79
5,AMD,2018-02-28,13.62,12.11,1079216030,13.84,10.63
6,AMD,2018-01-31,10.42,13.74,1287304205,13.85,10.34
7,AMD,2017-12-29,10.81,10.28,782262216,11.19,9.7
8,AMD,2017-11-30,11.25,10.89,1030230793,12.27,10.66
9,AMD,2017-10-31,12.8,10.99,1323032294,14.41,10.65
10,AMD,2017-09-29,13.12,12.75,1177772308,14.24,12.04
11,AMD,2017-08-31,13.72,13.0,1176626344,13.93,11.86
12,AMD,2017-07-31,12.57,13.61,1677393739,15.65,12.13
13,AMD,2017-06-30,11.25,12.48,2133161451,14.67,10.57
14,AMD,2017-05-31,13.43,11.19,1411273449,13.63,9.85
15,AMD,2017-04-28,14.6,13.3,942012756,14.74,12.22
16,AMD,2017-03-31,15.08,14.55,1733839143,15.09,12.38
17,AMD,2017-02-28,10.9,14.46,1571999711,15.55,10.81
18,AMD,2017-01-31,11.42,10.37,878998338,11.69,9.42
19,AMD,2016-12-30,8.92,11.34,1155647354,12.42,8.26
20,AMD,2016-11-30,7.32,8.91,990277853,9.23,6.22
21,AMD,2016-10-31,6.95,7.23,869559931,7.53,6.24
22,AMD,2016-09-30,7.18,6.91,1042046435,7.64,5.66
23,AMD,2016-08-31,6.89,7.4,606398931,8.0,6.15
24,AMD,2016-07-29,5.09,6.86,700562450,7.1599,4.82
25,AMD,2016-06-30,4.6,5.14,625844902,5.52,4.07
26,AMD,2016-05-31,3.58,4.57,394474332,4.71,3.45
27,AMD,2016-04-29,2.79,3.55,472576416,3.99,2.6
28,AMD,2016-03-31,2.16,2.85,332764611,2.98,2.12
29,AMD,2016-02-29,2.17,2.14,192749774,2.19,1.81
30,AMD,2016-01-29,2.77,2.2,355489271,2.82,1.75
31,AMD,2015-12-31,2.36,2.87,266536992,3.06,2.2
32,AMD,2015-11-30,2.13,2.36,136451860,2.4,1.94
33,AMD,2015-10-30,1.77,2.12,205479536,2.21,1.72
34,AMD,2015-09-30,1.77,1.72,188071184,2.14,1.65
35,AMD,2015-08-31,1.93,1.81,252521886,2.21,1.65
