,symbol,date,open,close,volume,high,low
0,BIIB,2018-07-13,290.3,348.48,26732074,367.89,288.13
1,BIIB,2018-06-29,294.94,290.24,29903507,310.91,283.2433
2,BIIB,2018-05-31,274.89,293.96,38099452,301.219,264.03
3,BIIB,2018-04-30,272.02,273.6,38300574,280.31,249.17
4,BIIB,2018-03-29,288.11,273.82,35357949,292.3,259.76
5,BIIB,2018-02-28,348.18,288.99,36173078,352.38,283.97
6,BIIB,2018-01-31,321.15,347.81,26677621,370.57,318.33
7,BIIB,2017-12-29,320.7,318.57,19786447,335.8,311.75
8,BIIB,2017-11-30,312.75,322.17,21200422,323.69,306.11
9,BIIB,2017-10-31,315.19,311.66,34309188,348.84,301.81
10,BIIB,2017-09-29,317.16,313.12,25104908,330.0,303.0
11,BIIB,2017-08-31,290.8,316.56,25093550,316.85,280.6
12,BIIB,2017-07-31,272.62,289.59,26375803,296.95,269.5
13,BIIB,2017-06-30,250.03,271.36,37646812,284.46,248.61
14,BIIB,2017-05-31,271.35,247.77,31368427,273.81,244.28
15,BIIB,2017-04-28,274.08,271.21,28603867,291.9,267.1
16,BIIB,2017-03-31,290.07,273.42,39708436,298.0,267.74
17,BIIB,2017-02-28,278.98,288.6,33018081,293.98,260.5
18,BIIB,2017-01-31,285.82,277.24,33795743,301.42,271.43
19,BIIB,2016-12-30,296.32,283.58,41473354,306.98,272.96
20,BIIB,2016-11-30,280.03,294.07,37951353,329.83,268.0
21,BIIB,2016-10-31,313.0,280.18,29027068,313.9999,279.23
22,BIIB,2016-09-30,307.96,313.03,30254827,318.88,293.835
23,BIIB,2016-08-31,300.0,305.63,43386896,333.65,297.66
24,BIIB,2016-07-29,242.57,289.93,37016105,290.92,240.07
25,BIIB,2016-06-30,287.97,241.82,53170169,292.69,223.0211
26,BIIB,2016-05-31,274.74,289.73,28359514,291.63,256.42
27,BIIB,2016-04-29,258.83,274.99,39321444,286.32,257.5
28,BIIB,2016-03-31,261.37,260.32,36282672,274.57,242.25
29,BIIB,2016-02-29,270.34,259.42,38095028,279.375,242.07
30,BIIB,2016-01-29,300.34,273.06,44372855,301.025,257.66
31,BIIB,2015-12-31,289.3,306.35,33039597,311.65,274.23
32,BIIB,2015-11-30,294.52,286.86,37004813,304.37,278.28
33,BIIB,2015-10-30,291.99,290.51,82782974,299.41,254.0
34,BIIB,2015-09-30,292.22,291.81,56680364,330.54,267.0
35,BIIB,2015-08-31,320.33,297.3,55777832,338.51,265.0
36,BIIB,2015-07-31,408.32,318.78,67089367,412.24,299.76
37,BIIB,2015-06-30,398.87,403.94,28667015,420.99,378.0
38,BIIB,2015-05-29,377.52,396.99,26969685,404.0,377.52
39,BIIB,2015-04-30,423.2,373.93,45443168,432.88,368.88
40,BIIB,2015-03-31,410.67,422.24,52479616,480.18,406.02
41,BIIB,2015-02-27,389.03,409.59,26304125,412.02,381.36
42,BIIB,2015-01-30,342.84,389.16,39421291,397.0,334.4
43,BIIB,2014-12-31,306.43,339.45,44148304,361.93,306.11
44,BIIB,2014-11-28,320.78,307.69,26192572,330.37,297.83
45,BIIB,2014-10-31,330.97,321.08,39396618,331.15,290.85
46,BIIB,2014-09-30,345.47,330.81,22141205,347.7892,315.71
47,BIIB,2014-08-29,332.93,343.04,20916000,348.49,317.0
48,BIIB,2014-07-31,317.03,334.39,28967400,349.0,298.31
49,BIIB,2014-06-30,318.93,315.31,20450300,322.046,302.01
50,BIIB,2014-05-30,287.11,319.37,25217700,322.25,278.1
51,BIIB,2014-04-30,308.42,287.12,41953100,317.0,272.02
52,BIIB,2014-03-31,340.68,305.87,40173600,358.89,292.67
53,BIIB,2014-02-28,314.84,340.68,27912100,353.47,294.02
54,BIIB,2014-01-31,279.44,312.64,31039900,321.25,270.62
55,BIIB,2013-12-31,291.71,279.572,23680600,298.82,270.27
56,BIIB,2013-11-29,245.57,290.97,27452600,297.98,230.25
57,BIIB,2013-10-31,242.85,244.19,26383100,262.0,221.07
58,BIIB,2013-09-30,216.0,240.76,22596700,248.95,213.05
59,BIIB,2013-08-30,218.82,213.02,21995300,229.0,203.55
60,BIIB,2013-07-31,220.25,218.13,28312400,234.74,214.2101
61,BIIB,2013-06-28,234.15,215.2,38129800,234.7,194.66
62,BIIB,2013-05-31,215.39,237.49,27267500,242.64,208.5001
63,BIIB,2013-04-30,193.66,218.93,32449600,226.18,191.8
64,BIIB,2013-03-28,165.3,192.618,28578200,192.92,164.45
65,BIIB,2013-02-28,157.28,166.34,24465500,169.07,155.1
66,BIIB,2013-01-31,148.72,156.08,38916200,156.94,139.72
67,BIIB,2012-12-31,150.04,146.37,17674000,155.3,145.04
68,BIIB,2012-11-30,139.3,149.09,24033200,151.499,134.0
69,BIIB,2012-10-31,149.16,138.2122,24197300,154.91,136.28
70,BIIB,2012-09-28,145.9,149.21,20480000,157.18,144.9
71,BIIB,2012-08-31,146.3,146.59,16995100,147.89,141.88
72,BIIB,2012-07-31,143.5,145.83,21560000,150.29,137.88
73,BIIB,2012-06-29,128.89,144.38,27198900,144.38,126.39
74,BIIB,2012-05-31,131.61,130.75,29033800,138.495,129.48
75,BIIB,2012-04-30,126.11,134.01,22423800,134.5,124.23
76,BIIB,2012-03-30,116.01,126.0,26028600,127.85,116.01
77,BIIB,2012-02-29,118.46,116.47,27743500,123.23,114.53
78,BIIB,2012-01-31,111.44,117.95,38407100,119.56,111.44
79,BIIB,2011-12-30,114.95,110.05,26723000,117.55,109.05
80,BIIB,2011-11-30,114.37,114.95,36336400,115.5,106.305
81,BIIB,2011-10-31,92.55,116.36,51276400,120.662,87.72
82,BIIB,2011-09-30,94.02,93.15,38950000,102.014,89.04
83,BIIB,2011-08-31,105.91,94.2,53673000,105.98,83.83
84,BIIB,2011-07-29,107.35,101.87,33091600,109.14,99.54
85,BIIB,2011-06-30,94.36,106.92,59713200,109.63,91.08
86,BIIB,2011-05-31,97.44,94.73,39837000,99.19,92.295
87,BIIB,2011-04-29,73.59,97.65,73743200,106.99,72.7
88,BIIB,2011-03-31,68.41,73.47,40811700,73.53,68.26
89,BIIB,2011-02-28,67.75,68.4,35170800,68.5,64.61
90,BIIB,2011-01-31,67.68,65.47,37412900,68.99,64.28
91,BIIB,2010-12-31,64.89,67.05,37407500,68.6,64.63
92,BIIB,2010-11-30,62.89,63.97,46604300,66.43,61.82
93,BIIB,2010-10-29,56.0,62.71,49553900,64.92,55.63
94,BIIB,2010-09-30,54.48,56.12,51792000,58.64,53.97
95,BIIB,2010-08-31,56.59,53.8,46797700,58.16,53.14
96,BIIB,2010-07-30,47.7,55.88,91488400,58.16,46.15
97,BIIB,2010-06-30,47.25,47.45,74843100,50.55,45.96
98,BIIB,2010-05-28,53.5,47.43,64814000,53.92,47.1
99,BIIB,2010-04-30,57.8,53.29,62150700,57.99,51.62
100,BIIB,2010-03-31,55.48,57.39,49405200,60.28,55.34
101,BIIB,2010-02-26,53.41,55.01,54880300,56.99,52.23
102,BIIB,2010-01-29,53.97,53.74,59027400,55.37,52.16
103,BIIB,2009-12-31,47.1,53.5,63750300,54.0,46.94
104,BIIB,2009-11-30,42.86,46.94,79719600,47.71,42.31
105,BIIB,2009-10-30,50.44,42.13,78277500,50.48,41.75
106,BIIB,2009-09-30,49.61,50.52,54681800,52.12,48.64
107,BIIB,2009-08-31,47.47,50.2,45900000,50.43,46.39
108,BIIB,2009-07-31,45.325,47.55,74156500,49.76,44.41
109,BIIB,2009-06-30,52.25,45.15,69752900,54.5,44.56
110,BIIB,2009-05-29,47.65,51.79,53540900,52.36,45.5
111,BIIB,2009-04-30,51.47,48.34,78683100,55.34,45.7
112,BIIB,2009-03-31,45.21,52.42,77373700,53.5,42.92
113,BIIB,2009-02-27,48.15,46.04,74919000,53.66,45.55
114,BIIB,2009-01-30,47.49,48.65,81151500,52.35,45.43
115,BIIB,2008-12-31,41.43,47.63,74314800,49.58,39.013
116,BIIB,2008-11-28,44.26,42.31,69773400,47.98,37.21
117,BIIB,2008-10-31,49.15,42.55,122887500,52.36,38.04
118,BIIB,2008-09-30,51.89,50.29,94732900,52.37,45.37
119,BIIB,2008-08-29,51.7,50.93,125408000,55.45,49.64
120,BIIB,2008-07-31,56.07,69.76,97829300,73.59,55.36
121,BIIB,2008-06-30,62.85,55.89,66931800,66.41,55.68
122,BIIB,2008-05-30,60.91,62.75,43653300,64.36,60.6
123,BIIB,2008-04-30,62.14,60.69,69947100,67.45,60.59
124,BIIB,2008-03-31,58.02,61.69,73226100,63.75,54.5
125,BIIB,2008-02-29,61.13,58.36,61214000,64.49,57.95
126,BIIB,2008-01-31,56.91,60.95,85483600,62.68,54.9
127,BIIB,2007-12-31,73.63,56.92,110252300,78.57,53.65
128,BIIB,2007-11-30,74.4,74.12,81913700,77.45,67.53
129,BIIB,2007-10-31,66.69,74.44,129959900,84.75,65.07
130,BIIB,2007-09-28,63.77,66.33,71770500,69.0,62.76
131,BIIB,2007-08-31,56.82,63.82,106835900,64.8,55.26
132,BIIB,2007-07-31,53.5,56.54,110346900,59.78,53.24
133,BIIB,2007-06-29,52.49,53.5,117911200,53.96,50.63
134,BIIB,2007-05-31,47.5,52.22,98942500,52.47,45.77
135,BIIB,2007-04-30,44.55,47.21,68702200,49.0,43.43
136,BIIB,2007-03-30,44.22,44.38,74350800,46.1,42.86
137,BIIB,2007-02-28,48.32,45.19,66451900,50.51,45.02
138,BIIB,2007-01-31,49.28,48.34,61967600,52.45,47.04
139,BIIB,2006-12-29,52.5,49.19,61172800,52.72,48.0
140,BIIB,2006-11-30,47.67,52.26,65114100,52.5,46.74
141,BIIB,2006-10-31,44.81,47.6,67507700,48.5,43.49
142,BIIB,2006-09-29,44.4,44.68,56293100,45.02,42.51
143,BIIB,2006-08-31,41.97,44.2,64394400,45.01,40.81
