,symbol,date,open,close,volume,high,low
0,CERN,2018-07-23,59.59,60.8,21535805,63.88,59.49
1,CERN,2018-06-29,60.11,59.79,34257715,62.05,58.67
2,CERN,2018-05-31,58.22,59.68,62683972,63.22,52.05
3,CERN,2018-04-30,57.48,58.25,57801412,59.6675,55.29
4,CERN,2018-03-29,64.27,58.0,63530639,65.28,56.49
5,CERN,2018-02-28,68.89,64.16,47839858,69.06,59.75
6,CERN,2018-01-31,67.55,69.13,42956208,73.43,67.54
7,CERN,2017-12-29,70.34,67.39,32722716,70.77,67.12
8,CERN,2017-11-30,67.73,70.69,46025510,71.43,64.24
9,CERN,2017-10-31,71.35,67.52,50786501,73.86,62.86
10,CERN,2017-09-29,67.86,71.32,46004308,72.27,66.91
11,CERN,2017-08-31,64.48,67.78,34301398,67.85,61.53
12,CERN,2017-07-31,66.77,64.37,28888455,66.98,62.57
13,CERN,2017-06-30,65.5,66.47,35740452,69.28,64.79
14,CERN,2017-05-31,64.63,65.35,61575763,65.81,63.41
15,CERN,2017-04-28,58.72,64.75,41610809,66.27,58.09
16,CERN,2017-03-31,55.48,58.85,63434423,59.83,54.01
17,CERN,2017-02-28,53.61,55.04,60993884,56.59,51.26
18,CERN,2017-01-31,47.7,53.71,56997142,53.75,47.09
19,CERN,2016-12-30,49.3,47.37,56762195,50.29,47.01
20,CERN,2016-11-30,58.52,49.78,108475090,58.6304,48.04
21,CERN,2016-10-31,61.62,58.58,32520545,62.53,57.3115
22,CERN,2016-09-30,64.75,61.75,35503450,65.32,61.19
23,CERN,2016-08-31,62.33,64.54,47693671,67.5,61.37
24,CERN,2016-07-29,58.48,62.39,35025896,62.71,57.59
25,CERN,2016-06-30,55.58,58.6,48966146,58.74,53.3288
26,CERN,2016-05-31,56.24,55.61,44400954,57.08,52.84
27,CERN,2016-04-29,52.79,56.14,39923748,58.89,52.6
28,CERN,2016-03-31,51.48,52.96,60942673,54.85,49.59
29,CERN,2016-02-29,57.38,51.06,66330155,59.07,49.89
30,CERN,2016-01-29,59.05,58.01,40914930,59.92,53.91
31,CERN,2015-12-31,59.75,60.17,43308055,61.96,58.91
32,CERN,2015-11-30,66.8,59.6,64589274,66.94,55.82
33,CERN,2015-10-30,60.17,66.29,42162929,68.31,58.54
34,CERN,2015-09-30,60.79,59.96,45849396,65.56,58.01
35,CERN,2015-08-31,71.91,61.76,72384388,72.06,57.42
36,CERN,2015-07-31,69.39,71.72,42485404,75.0,67.26
37,CERN,2015-06-30,67.67,69.06,41096123,70.66,65.67
38,CERN,2015-05-29,72.32,67.29,46758356,73.18,66.92
39,CERN,2015-04-30,73.27,71.81,27969625,75.72,71.23
40,CERN,2015-03-31,72.16,73.26,32689554,74.83,69.2
41,CERN,2015-02-27,66.91,72.06,34495547,73.24,65.05
42,CERN,2015-01-30,64.92,66.35,24638557,68.37,63.19
43,CERN,2014-12-31,64.48,64.66,23539678,66.45,60.7
44,CERN,2014-11-28,63.32,64.4,23548365,64.75,62.53
45,CERN,2014-10-31,59.22,63.34,42863372,63.89,55.75
46,CERN,2014-09-30,57.92,59.57,35384921,60.14,57.66
47,CERN,2014-08-29,55.25,57.66,32503800,57.68,53.6501
48,CERN,2014-07-31,51.67,55.2,45851300,57.59,50.3
49,CERN,2014-06-30,54.22,51.58,33176500,54.49,51.09
50,CERN,2014-05-30,51.03,54.05,40117400,54.99,48.87
51,CERN,2014-04-30,55.91,51.3,57691300,56.87,48.39
52,CERN,2014-03-31,60.59,56.25,29681800,62.17,55.75
53,CERN,2014-02-28,56.75,61.37,45078300,63.07,51.65
54,CERN,2014-01-31,55.48,56.89,31085500,57.58,53.638
55,CERN,2013-12-31,57.59,55.74,27408300,58.08,53.72
56,CERN,2013-11-29,56.31,57.47,19669100,58.46,55.59
