,symbol,date,open,close,volume,high,low
0,ENDP,2018-07-23,9.4,11.56,70223019,11.71,9.4
1,ENDP,2018-06-29,6.31,9.43,211969614,10.09,6.19
2,ENDP,2018-05-31,5.69,6.29,105107568,6.54,5.415
3,ENDP,2018-04-30,5.93,5.73,91682874,6.15,5.27
4,ENDP,2018-03-29,6.27,5.94,110386768,7.47,5.61
5,ENDP,2018-02-28,6.82,6.305,103146568,7.05,5.82
6,ENDP,2018-01-31,7.8,6.91,134686291,9.02,6.79
7,ENDP,2017-12-29,7.36,7.75,77855523,8.4,6.88
8,ENDP,2017-11-30,6.4,7.34,137029617,7.88,5.85
9,ENDP,2017-10-31,8.6,6.38,154149889,9.2,5.77
10,ENDP,2017-09-29,8.82,8.57,93442959,9.63,8.1
11,ENDP,2017-08-31,11.04,8.79,192891468,11.11,7.41
12,ENDP,2017-07-31,11.16,11.02,74107131,12.54,10.95
13,ENDP,2017-06-30,13.2,11.17,134706090,14.15,10.59
14,ENDP,2017-05-31,11.45,13.18,162371176,14.06,10.81
15,ENDP,2017-04-28,11.15,11.37,123542670,12.69,10.15
16,ENDP,2017-03-31,13.83,11.16,261929726,13.91,9.7
17,ENDP,2017-02-28,12.23,13.65,157540701,14.45,11.96
18,ENDP,2017-01-31,16.71,12.24,161136542,17.99,11.37
19,ENDP,2016-12-30,16.16,16.47,85452760,16.57,14.72
20,ENDP,2016-11-30,18.72,16.01,140110496,19.07,13.83
21,ENDP,2016-10-31,20.05,18.75,91553343,21.87,18.64
22,ENDP,2016-09-30,20.71,20.15,130883563,23.98,19.21
23,ENDP,2016-08-31,17.35,20.7,190729857,24.93,16.76
24,ENDP,2016-07-29,15.64,17.36,110981538,18.62,15.45
25,ENDP,2016-06-30,15.69,15.59,221010887,18.29,13.615
26,ENDP,2016-05-31,27.03,15.81,272648263,28.67,12.56
27,ENDP,2016-04-29,27.77,27.0,164581517,35.34,25.23
28,ENDP,2016-03-31,42.4,28.15,186048707,45.0,25.98
29,ENDP,2016-02-29,55.61,41.81,92232753,56.98,39.97
30,ENDP,2016-01-29,59.76,55.47,76978700,61.14,51.1401
31,ENDP,2015-12-31,61.73,61.22,80563025,63.71,55.92
32,ENDP,2015-11-30,60.35,61.48,85638915,62.94,47.38
33,ENDP,2015-10-30,68.3,59.99,136459906,72.85,46.66
34,ENDP,2015-09-30,73.49,69.28,67533274,84.57,59.805
35,ENDP,2015-08-31,87.95,77.0,44300671,88.54,68.6101
36,ENDP,2015-07-31,80.22,87.54,38745840,88.13,78.02
37,ENDP,2015-06-30,83.98,79.65,58961510,87.1,78.19
38,ENDP,2015-05-29,84.84,83.76,48820978,88.84,80.26
39,ENDP,2015-04-30,89.98,84.065,38414295,96.58,83.59
40,ENDP,2015-03-31,87.49,89.7,69393903,93.03,83.01
41,ENDP,2015-02-27,80.34,85.6,41461681,87.36,77.02
42,ENDP,2015-01-30,72.51,79.61,83723711,82.88,70.62
43,ENDP,2014-12-31,72.6,72.12,33032102,75.2,66.88
44,ENDP,2014-11-28,66.88,73.17,39059897,73.72,66.0
45,ENDP,2014-10-31,68.55,66.92,59196917,71.015,57.14
46,ENDP,2014-09-30,64.0,68.34,46046953,70.19,62.62
47,ENDP,2014-08-29,66.87,63.71,33444000,69.49,61.13
48,ENDP,2014-07-31,70.78,67.08,34302100,71.49,65.11
49,ENDP,2014-06-30,70.64,70.02,32489500,72.21,67.0
50,ENDP,2014-05-30,66.74,70.59,62769600,75.69,63.84
51,ENDP,2014-04-30,68.66,62.945,79247400,68.99,53.62
52,ENDP,2014-03-31,77.85,68.65,64868100,82.16,63.66
53,ENDP,2014-02-28,66.0,79.82,54887600,81.65,64.8572
54,ENDP,2014-01-31,64.76,65.88,35799600,72.659,63.65
55,ENDP,2013-12-31,67.16,67.46,31711400,67.63,63.38
56,ENDP,2013-11-29,43.86,67.19,91871000,67.62,43.63
57,ENDP,2013-10-31,45.5,43.73,35035100,47.09,43.12
58,ENDP,2013-09-30,41.45,45.44,38282300,46.09,41.04
59,ENDP,2013-08-30,38.52,41.09,38793600,41.74,36.175
60,ENDP,2013-07-31,36.75,38.46,27180200,39.9,36.75
61,ENDP,2013-06-28,36.27,36.79,36260800,39.82,35.87
62,ENDP,2013-05-31,36.48,36.3,57997800,38.32,32.66
63,ENDP,2013-04-30,30.63,36.64,60297500,37.11,30.39
64,ENDP,2013-03-28,30.38,30.76,32359600,31.65,29.9
65,ENDP,2013-02-28,31.72,31.0,61544500,31.86,27.7
66,ENDP,2013-01-31,26.51,31.66,61252600,33.32,25.005
67,ENDP,2012-12-31,28.65,26.2301,38246400,28.8999,25.49
68,ENDP,2012-11-30,28.55,28.68,49801300,29.57,25.71
69,ENDP,2012-10-31,31.57,28.66,39161400,33.03,28.44
70,ENDP,2012-09-28,31.9,31.72,28563700,33.86,31.19
71,ENDP,2012-08-31,29.79,31.82,30837200,32.94,28.89
72,ENDP,2012-07-31,31.02,29.73,22323700,31.87,29.01
73,ENDP,2012-06-29,32.05,30.98,39755900,32.53,28.83
74,ENDP,2012-05-31,35.0,32.52,32162700,35.6,31.95
75,ENDP,2012-04-30,38.58,35.14,26347100,38.96,34.23
76,ENDP,2012-03-30,36.92,38.73,28177200,39.29,35.42
77,ENDP,2012-02-29,37.56,37.07,32589800,38.2,34.42
78,ENDP,2012-01-31,35.24,37.17,36793000,37.92,32.82
79,ENDP,2011-12-30,34.08,34.53,27138100,36.41,33.07
80,ENDP,2011-11-30,31.7,34.23,25776800,34.76,31.4
81,ENDP,2011-10-31,27.77,32.31,29987100,33.14,26.02
82,ENDP,2011-09-30,31.83,27.99,27015900,32.05,26.764
83,ENDP,2011-08-31,37.55,31.91,39060000,37.74,29.03
84,ENDP,2011-07-29,40.2,37.25,19197700,42.09,36.4
85,ENDP,2011-06-30,41.6,40.17,36277200,41.8076,36.65
86,ENDP,2011-05-31,39.27,41.63,30712000,42.79,38.18
87,ENDP,2011-04-29,38.37,39.16,47367600,44.53,37.77
88,ENDP,2011-03-31,35.11,38.16,27581800,38.51,33.46
89,ENDP,2011-02-28,33.74,35.52,17760900,36.31,32.14
90,ENDP,2011-01-31,35.9,33.22,26544800,36.52,33.12
91,ENDP,2010-12-31,36.35,35.71,24391600,37.1,34.54
92,ENDP,2010-11-30,37.15,36.01,27459900,37.4,34.48
93,ENDP,2010-10-29,33.24,36.74,30231800,38.2,32.8
94,ENDP,2010-09-30,27.54,33.24,41701300,34.26,27.32
95,ENDP,2010-08-31,24.24,27.14,43481800,29.61,24.17
96,ENDP,2010-07-30,21.85,24.01,29631600,24.4,21.3
97,ENDP,2010-06-30,20.93,21.82,29993300,22.83,20.16
98,ENDP,2010-05-28,21.92,20.94,36456000,22.34,19.58
99,ENDP,2010-04-30,23.75,21.9,29861300,24.29,21.72
100,ENDP,2010-03-31,22.34,23.69,39531100,24.85,22.25
101,ENDP,2010-02-26,20.16,22.75,28253700,22.905,19.19
102,ENDP,2010-01-29,20.66,20.11,32473900,21.29,19.5
103,ENDP,2009-12-31,22.1,20.52,37391700,22.69,19.11
104,ENDP,2009-11-30,22.39,22.03,20905200,23.32,22.01
105,ENDP,2009-10-30,22.63,22.4,35745600,24.1,21.41
106,ENDP,2009-09-30,22.6,22.63,33315300,23.37,21.08
107,ENDP,2009-08-31,21.45,22.57,37697500,22.9982,20.35
108,ENDP,2009-07-31,16.97,21.01,43834500,21.97,16.81
109,ENDP,2009-06-30,16.2,17.92,36880800,18.5242,16.0
110,ENDP,2009-05-29,16.73,15.93,37152800,17.0,15.75
111,ENDP,2009-04-30,17.57,16.54,25316200,18.55,16.45
112,ENDP,2009-03-31,19.04,17.68,40776500,19.1,16.285
113,ENDP,2009-02-27,22.41,18.98,22900800,23.69,18.98
114,ENDP,2009-01-30,25.94,22.47,28104700,26.14,19.91
115,ENDP,2008-12-31,21.57,25.88,25781300,25.99,20.63
116,ENDP,2008-11-28,18.68,21.99,29670800,22.0,17.93
117,ENDP,2008-10-31,19.9,18.5,31087600,20.55,13.87
118,ENDP,2008-09-30,22.95,20.0,26288500,23.54,19.46
119,ENDP,2008-08-29,23.25,22.72,24530400,23.95,22.57
120,ENDP,2008-07-31,24.17,23.15,31153500,25.47,22.22
121,ENDP,2008-06-30,24.71,24.19,30867500,25.97,23.6
122,ENDP,2008-05-30,23.99,24.64,33016300,25.3,23.62
123,ENDP,2008-04-30,23.77,24.83,42609600,26.56,23.66
124,ENDP,2008-03-31,26.32,23.94,21311600,27.58,22.62
125,ENDP,2008-02-29,25.98,26.26,20622600,28.48,24.785
126,ENDP,2008-01-31,26.68,26.14,33170200,27.25,23.25
127,ENDP,2007-12-31,27.5,26.67,20201500,28.48,26.23
128,ENDP,2007-11-30,29.44,27.41,23096400,29.5,26.04
129,ENDP,2007-10-31,30.0,29.3,38239500,30.9,26.92
130,ENDP,2007-09-28,31.72,31.01,11521200,32.75,30.63
131,ENDP,2007-08-31,34.43,31.88,30586900,34.75,28.86
132,ENDP,2007-07-31,34.45,34.01,29751000,35.2,32.35
133,ENDP,2007-06-29,35.23,34.23,26349500,35.85,33.61
134,ENDP,2007-05-31,30.76,35.26,36642500,35.34,30.76
135,ENDP,2007-04-30,29.52,30.94,21150200,32.1,28.94
136,ENDP,2007-03-30,30.81,29.4,22761100,31.16,27.67
137,ENDP,2007-02-28,31.029,31.21,18798200,32.63,29.83
138,ENDP,2007-01-31,27.6,30.72,28697900,30.73,26.91
139,ENDP,2006-12-29,27.0,27.58,20675100,28.91,26.76
140,ENDP,2006-11-30,28.2,27.11,34190800,29.77,26.68
141,ENDP,2006-10-31,32.67,28.54,51581700,34.75,28.13
142,ENDP,2006-09-29,33.08,32.55,32477600,33.36,28.88
143,ENDP,2006-08-31,30.96,33.0,22909400,34.6,30.64
144,ENDP,2006-07-31,33.14,31.07,17476700,33.31,29.74
145,ENDP,2006-06-30,29.54,32.98,38697900,33.03,27.76
146,ENDP,2006-05-31,31.61,29.34,21040400,32.73,28.3
147,ENDP,2006-04-28,32.97,31.45,23115700,32.97,30.16
148,ENDP,2006-03-31,31.52,32.81,26581000,33.96,30.84
149,ENDP,2006-02-28,28.79,31.52,42131900,32.0,21.06
150,ENDP,2006-01-31,30.45,28.7,34305000,33.07,27.76
151,ENDP,2005-12-30,30.22,30.26,20578800,31.93,29.49
152,ENDP,2005-11-30,27.09,29.92,22107100,31.3,26.9
153,ENDP,2005-10-31,26.96,26.92,42983300,27.54,24.36
154,ENDP,2005-09-30,29.95,26.67,14390200,30.52,26.21
155,ENDP,2005-08-31,28.49,30.0,15166100,30.0,26.76
156,ENDP,2005-07-29,26.37,28.46,17653700,28.7899,25.11
157,ENDP,2005-06-30,20.41,26.28,23174000,26.48,19.75
158,ENDP,2005-05-31,19.9,20.3,10659900,20.82,19.02
159,ENDP,2005-04-29,22.48,19.85,16311300,22.92,19.09
160,ENDP,2005-03-31,22.64,22.55,15283100,23.18,21.28
161,ENDP,2005-02-28,21.05,22.53,13883700,22.59,19.52
162,ENDP,2005-01-31,21.27,21.01,14496700,21.73,19.8
163,ENDP,2004-12-31,20.51,21.01,21904100,21.6,18.83
164,ENDP,2004-11-30,21.93,20.48,21359700,22.78,19.62
165,ENDP,2004-10-29,18.37,21.8,25870100,22.55,17.17
166,ENDP,2004-09-30,17.12,18.36,24560500,19.87,16.02
167,ENDP,2004-08-31,19.3,16.96,14904900,19.5,15.78
168,ENDP,2004-07-30,23.51,19.2,15154300,23.59,18.52
169,ENDP,2004-06-30,22.74,23.45,13460500,24.0,20.52
170,ENDP,2004-05-28,23.83,22.64,23462100,25.61,20.34
171,ENDP,2004-04-30,23.25,23.87,22557200,27.15,23.25
172,ENDP,2004-03-31,24.27,24.42,22621600,24.76,19.8
173,ENDP,2004-02-27,21.8,24.27,18669900,25.0,19.56
174,ENDP,2004-01-30,19.37,21.63,28458100,24.45,18.78
175,ENDP,2003-12-31,19.0,19.36,10279800,19.75,16.75
176,ENDP,2003-11-28,16.44,18.84,12197400,19.14,15.85
177,ENDP,2003-10-31,20.85,16.3,34263100,24.0,14.5
178,ENDP,2003-09-30,16.87,20.45,13869600,22.26,16.55
179,ENDP,2003-08-29,15.3,16.8,7807300,16.98,14.75
180,ENDP,2003-07-31,16.38,15.55,33226200,16.75,13.99
181,ENDP,2003-06-30,16.0,16.75,12707100,19.45,15.99
182,ENDP,2003-05-30,16.51,15.87,12909600,18.0,14.0
183,ENDP,2003-04-30,13.4,16.54,12952500,17.2,12.72
184,ENDP,2003-03-31,9.95,13.49,7398900,14.1,9.6
185,ENDP,2003-02-28,9.4,9.96,4490000,10.45,9.15
186,ENDP,2003-01-31,7.75,9.29,5083600,10.0,7.49
