,symbol,date,open,close,volume,high,low
0,ESRX,2018-07-23,77.05,79.42,43355601,82.79,75.4
1,ESRX,2018-06-29,76.1,77.21,64894591,83.32,74.4
2,ESRX,2018-05-31,75.67,75.81,84538669,78.47,67.05
3,ESRX,2018-04-30,68.89,75.7,71576223,77.73,66.93
4,ESRX,2018-03-29,75.26,69.08,154082937,85.07,69.005
5,ESRX,2018-02-28,77.03,75.45,79814838,80.5,68.84
6,ESRX,2018-01-31,74.99,79.18,86419575,83.485,72.5701
7,ESRX,2017-12-29,64.19,74.64,82653270,75.64,63.63
8,ESRX,2017-11-30,61.81,65.18,69312687,65.2,59.17
9,ESRX,2017-10-31,63.37,61.29,101814802,64.29,55.8
10,ESRX,2017-09-29,62.93,63.32,68119179,64.31,60.35
11,ESRX,2017-08-31,62.72,62.82,60663108,62.98,60.03
12,ESRX,2017-07-31,64.15,62.64,57912688,65.5,61.06
13,ESRX,2017-06-30,59.92,63.84,87079798,66.56,59.68
14,ESRX,2017-05-31,61.42,59.75,89371065,63.13,59.14
15,ESRX,2017-04-28,66.06,61.34,82606826,67.51,57.8
16,ESRX,2017-03-31,71.16,65.91,117210689,72.11,63.22
17,ESRX,2017-02-28,68.65,70.65,72478887,71.85,65.82
18,ESRX,2017-01-31,69.41,68.88,81032133,73.419,67.03
19,ESRX,2016-12-30,75.89,68.79,97324825,77.25,68.0
20,ESRX,2016-11-30,67.42,75.88,94649756,77.5,66.77
21,ESRX,2016-10-31,70.24,67.4,72567429,72.03,64.46
22,ESRX,2016-09-30,72.98,70.53,70013294,73.12,68.7
23,ESRX,2016-08-31,76.11,72.7,86817323,77.61,71.26
24,ESRX,2016-07-29,75.8,76.07,67794263,80.02,75.0001
25,ESRX,2016-06-30,75.52,75.8,83907560,77.26,72.81
26,ESRX,2016-05-31,73.87,75.55,68438537,75.64,71.41
27,ESRX,2016-04-29,69.17,73.73,98006668,76.35,66.89
28,ESRX,2016-03-31,70.69,68.69,116222868,72.91,65.97
29,ESRX,2016-02-29,71.12,70.38,94609080,72.72,65.55
30,ESRX,2016-01-29,85.84,71.87,146190348,87.87,69.04
31,ESRX,2015-12-31,85.9,87.41,78723944,89.0,84.13
32,ESRX,2015-11-30,86.72,85.48,86342386,89.2,82.86
33,ESRX,2015-10-30,81.34,86.38,90716814,88.1,79.66
34,ESRX,2015-09-30,81.91,80.96,96761987,85.91,79.23
35,ESRX,2015-08-31,90.06,83.6,105305939,91.37,68.06
36,ESRX,2015-07-31,89.55,90.07,78404826,94.61,87.16
37,ESRX,2015-06-30,86.15,88.94,92575589,92.46,84.94
38,ESRX,2015-05-29,86.95,87.14,96188481,91.21,83.41
39,ESRX,2015-04-30,86.99,86.4,78933293,89.59,83.76
40,ESRX,2015-03-31,84.39,86.77,76359155,88.55,80.94
41,ESRX,2015-02-27,81.33,84.79,74371519,88.83,79.01
42,ESRX,2015-01-30,84.91,80.71,82056573,86.64,80.6
43,ESRX,2014-12-31,82.99,84.67,85414367,86.269,78.89
44,ESRX,2014-11-28,76.82,83.15,62586984,83.37,76.31
45,ESRX,2014-10-31,70.75,76.82,92080620,77.41,68.78
46,ESRX,2014-09-30,74.2,70.63,76085135,75.95,70.36
47,ESRX,2014-08-29,69.62,73.93,81922800,75.74,69.38
48,ESRX,2014-07-31,69.92,69.65,120917400,71.73,65.08
49,ESRX,2014-06-30,70.87,69.33,101955900,71.81,67.635
50,ESRX,2014-05-30,66.62,71.47,114992100,71.49,65.83
51,ESRX,2014-04-30,75.5,66.58,125305000,76.21,64.64
52,ESRX,2014-03-31,74.77,75.09,113178500,79.37,74.32
53,ESRX,2014-02-28,75.21,75.31,109272700,78.17,72.68
54,ESRX,2014-01-31,70.0,74.69,98277100,75.28,69.61
55,ESRX,2013-12-31,67.32,70.24,79711100,70.79,66.15
56,ESRX,2013-11-29,62.93,67.35,100013800,67.95,61.89
57,ESRX,2013-10-31,62.01,62.52,113567300,65.23,59.2
58,ESRX,2013-09-30,64.48,61.8,113289200,66.51,60.8
59,ESRX,2013-08-30,66.2,63.88,81393900,66.74,63.5
