,symbol,date,open,close,volume,high,low
0,FFIV,2018-07-13,171.3,176.03,4859650,179.22,169.6972
1,FFIV,2018-06-29,174.57,172.45,13727371,183.27,168.025
2,FFIV,2018-05-31,160.7,173.11,16372119,176.33,160.21
3,FFIV,2018-04-30,143.93,163.09,16554585,163.48,138.67
4,FFIV,2018-03-29,148.81,144.61,13425544,153.91,142.07
5,FFIV,2018-02-28,144.57,148.52,15677480,153.08,133.14
6,FFIV,2018-01-31,131.64,144.54,17149788,144.61,131.31
7,FFIV,2017-12-29,134.19,131.22,13204257,136.35,129.7
8,FFIV,2017-11-30,120.94,134.2,15807941,134.5,119.4
9,FFIV,2017-10-31,120.81,121.27,19655004,127.48,114.63
10,FFIV,2017-09-29,119.91,120.56,14188827,123.14,114.76
11,FFIV,2017-08-31,121.08,119.38,14099490,121.43,115.67
12,FFIV,2017-07-31,127.75,120.75,18765369,130.0,115.63
13,FFIV,2017-06-30,128.85,127.06,13866168,132.2,125.96
14,FFIV,2017-05-31,128.91,128.13,20006253,131.93,124.27
15,FFIV,2017-04-28,142.73,129.13,16620864,142.92,125.3
16,FFIV,2017-03-31,144.01,142.57,13711128,149.5,140.4
17,FFIV,2017-02-28,134.07,143.27,13819766,145.55,130.61
18,FFIV,2017-01-31,145.65,134.03,15405450,146.98,132.51
19,FFIV,2016-12-30,141.12,144.72,11769084,148.34,136.97
20,FFIV,2016-11-30,137.47,140.75,17542894,144.2809,134.01
21,FFIV,2016-10-31,124.16,138.21,19774474,138.55,114.45
22,FFIV,2016-09-30,122.42,124.64,12432114,125.0,115.631
23,FFIV,2016-08-31,123.56,122.73,13636412,127.13,121.33
24,FFIV,2016-07-29,113.91,123.42,16395301,125.87,110.86
25,FFIV,2016-06-30,110.02,113.84,21624727,124.91,107.19
26,FFIV,2016-05-31,103.12,110.2,18845886,110.28,99.29
27,FFIV,2016-04-29,104.94,104.75,23544785,107.08,93.64
28,FFIV,2016-03-31,96.73,105.85,15595991,106.86,96.29
29,FFIV,2016-02-29,93.12,96.17,19216040,97.72,86.026
30,FFIV,2016-01-29,95.6,93.78,37264765,97.7,88.745
31,FFIV,2015-12-31,103.07,96.96,26415500,105.65,94.51
32,FFIV,2015-11-30,109.0,103.0,25328239,113.8,100.32
33,FFIV,2015-10-30,115.97,110.2,28141106,123.25,108.0
34,FFIV,2015-09-30,118.76,115.8,18301592,123.22,111.4301
35,FFIV,2015-08-31,130.99,121.41,18815756,134.28,112.43
36,FFIV,2015-07-31,121.08,134.14,24656836,135.2,114.51
37,FFIV,2015-06-30,124.4,120.35,17202006,128.0,118.56
38,FFIV,2015-05-29,122.28,125.69,15175046,128.08,121.28
39,FFIV,2015-04-30,114.61,122.02,29693627,126.18,111.33
40,FFIV,2015-03-31,118.56,114.94,21480109,119.97,111.07
41,FFIV,2015-02-27,110.29,118.115,18156623,120.66,109.19
42,FFIV,2015-01-30,131.72,111.62,32632156,132.99,108.6
43,FFIV,2014-12-31,129.61,130.465,16975401,136.11,126.47
44,FFIV,2014-11-28,122.0,129.19,16676679,130.86,122.0
45,FFIV,2014-10-31,118.5,122.98,29829581,124.0,106.82
46,FFIV,2014-09-30,124.5,118.74,16526353,128.3,117.6001
47,FFIV,2014-08-29,109.0101,124.19,20166100,124.8,109.0101
48,FFIV,2014-07-31,112.0,112.59,25345400,117.77,108.0251
49,FFIV,2014-06-30,108.93,111.44,20078300,114.14,106.57
50,FFIV,2014-05-30,104.65,108.55,24998300,110.75,99.93
51,FFIV,2014-04-30,107.05,105.17,34217800,112.84,99.26
52,FFIV,2014-03-31,110.3,106.63,32978000,116.707,103.14
53,FFIV,2014-02-28,104.58,112.34,31905500,114.86,102.24
54,FFIV,2014-01-31,90.42,107.02,53658000,110.8999,87.47
55,FFIV,2013-12-31,82.11,90.86,30911900,91.28,81.2
56,FFIV,2013-11-29,81.47,82.26,38600800,85.49,78.14
57,FFIV,2013-10-31,86.1,81.535,49333700,93.25,81.07
58,FFIV,2013-09-30,84.22,85.808,25459300,94.66,84.11
59,FFIV,2013-08-30,88.26,83.38,30067400,94.33,82.27
60,FFIV,2013-07-31,70.0,87.8,48216100,92.79,68.22
61,FFIV,2013-06-28,80.6,68.8,33724000,80.95,67.53
62,FFIV,2013-05-31,76.1,83.21,32098400,86.219,73.0
63,FFIV,2013-04-30,88.84,76.43,52858500,92.57,70.6
64,FFIV,2013-03-28,94.22,89.08,27150300,95.67,86.33
65,FFIV,2013-02-28,106.35,94.43,28870300,107.99,92.01
66,FFIV,2013-01-31,100.03,104.88,34408400,107.37,93.2
67,FFIV,2012-12-31,94.18,97.15,25884000,99.389,89.61
68,FFIV,2012-11-30,82.32,93.68,41149900,95.2,81.57
69,FFIV,2012-10-31,105.72,82.59,44838200,108.37,81.07
70,FFIV,2012-09-28,97.27,104.64,35869900,111.58,93.6201
71,FFIV,2012-08-31,94.44,97.49,33260600,104.875,90.285
72,FFIV,2012-07-31,98.45,93.38,52880000,103.13,88.3
73,FFIV,2012-06-29,100.0,99.56,37280700,107.19,92.09
74,FFIV,2012-05-31,132.94,103.48,42919400,138.67,99.47
75,FFIV,2012-04-30,135.05,133.93,37457300,139.46,120.01
76,FFIV,2012-03-30,125.74,134.96,24101800,136.46,119.5
77,FFIV,2012-02-29,121.17,124.96,23278700,130.27,119.5
78,FFIV,2012-01-31,108.48,119.74,39350000,124.29,99.6
79,FFIV,2011-12-30,111.5,106.12,33709600,117.3,99.59
80,FFIV,2011-11-30,100.28,113.03,37152900,113.6,97.59
81,FFIV,2011-10-31,70.61,103.95,53739800,107.95,69.6
82,FFIV,2011-09-30,81.5,71.05,51222500,86.16,70.83
83,FFIV,2011-08-31,95.52,81.57,78452000,96.39,69.011
84,FFIV,2011-07-29,110.83,93.48,56845800,119.69,92.3008
85,FFIV,2011-06-30,112.1,110.25,52344600,114.9,96.21
86,FFIV,2011-05-31,100.42,113.58,46942900,114.54,97.2601
87,FFIV,2011-04-29,100.58,101.36,78153500,111.63,92.03
88,FFIV,2011-03-31,118.58,102.57,98350100,118.5999,91.1
89,FFIV,2011-02-28,109.56,118.01,68220500,129.92,107.81
90,FFIV,2011-01-31,132.89,108.38,87962800,145.76,102.66
91,FFIV,2010-12-31,134.11,130.16,60741800,143.75,129.14
92,FFIV,2010-11-30,117.98,131.88,47880600,136.0,112.1
93,FFIV,2010-10-29,104.82,117.7,80796600,119.88,89.05
94,FFIV,2010-09-30,89.84,103.81,33841500,107.3,89.21
95,FFIV,2010-08-31,87.96,87.43,34030800,92.7,80.0
96,FFIV,2010-07-30,68.51,87.83,38195300,88.34,66.79
97,FFIV,2010-06-30,70.02,68.57,35986400,77.1,64.39
98,FFIV,2010-05-28,67.33,70.33,37102500,74.0,60.5
99,FFIV,2010-04-30,61.69,68.43,28116000,72.6,61.44
100,FFIV,2010-03-31,56.11,61.63,29664100,65.1,56.0
101,FFIV,2010-02-26,49.53,55.8,22742900,56.16,47.11
102,FFIV,2010-01-29,53.35,49.43,25152500,56.19,49.27
103,FFIV,2009-12-31,47.41,52.97,23542100,53.59,47.39
104,FFIV,2009-11-30,43.5,47.03,24325300,50.61,43.5
105,FFIV,2009-10-30,39.62,44.89,42835600,49.0,37.93
106,FFIV,2009-09-30,34.46,39.63,28461100,40.17,33.61
107,FFIV,2009-08-31,36.31,34.5,32152600,38.59,33.43
108,FFIV,2009-07-31,34.84,37.12,47885700,38.8,32.471
109,FFIV,2009-06-30,31.81,34.61,46869600,36.28,31.47
110,FFIV,2009-05-29,26.9,31.76,41727300,31.8,25.62
111,FFIV,2009-04-30,20.86,27.27,46931600,28.49,20.51
112,FFIV,2009-03-31,19.8,20.95,45829200,22.59,18.41
113,FFIV,2009-02-27,21.39,20.0,32134300,23.92,19.14
114,FFIV,2009-01-30,22.85,22.17,57242800,24.55,21.1
115,FFIV,2008-12-31,24.16,22.86,44585500,24.82,20.49
116,FFIV,2008-11-28,23.3,24.9,46252100,25.92,20.26
117,FFIV,2008-10-31,23.96,24.82,72336600,26.12,17.75
118,FFIV,2008-09-30,34.64,23.38,75093500,34.94,21.0
119,FFIV,2008-08-29,28.9,34.11,38844900,35.85,27.98
120,FFIV,2008-07-31,28.01,29.15,69069500,34.0,27.67
121,FFIV,2008-06-30,30.0,28.42,53149600,32.6,28.26
122,FFIV,2008-05-30,22.56,30.05,68477700,30.15,22.04
123,FFIV,2008-04-30,18.52,22.63,77734000,24.42,17.7
124,FFIV,2008-03-31,21.96,18.17,45400900,22.0,18.11
125,FFIV,2008-02-29,23.96,22.16,44448000,25.21,20.37
126,FFIV,2008-01-31,28.02,23.53,74327600,28.21,18.11
127,FFIV,2007-12-31,26.8,28.52,33110900,30.84,26.2757
128,FFIV,2007-11-30,36.75,26.42,47225000,38.81,25.91
129,FFIV,2007-10-31,37.07,36.03,55673500,44.55,32.94
130,FFIV,2007-09-28,34.93,37.19,32136400,41.4,34.78
131,FFIV,2007-08-31,34.97,34.97,46804400,34.97,34.32
132,FFIV,2007-07-31,40.0,43.345,24255700,46.935,39.935
133,FFIV,2007-06-29,40.68,40.3,18005000,43.24,38.305
134,FFIV,2007-05-31,38.37,40.63,19879500,40.745,36.84
135,FFIV,2007-04-30,33.03,38.39,38478700,40.25,32.215
136,FFIV,2007-03-30,35.61,33.34,21512500,37.585,33.275
137,FFIV,2007-02-28,35.705,36.31,16246600,39.345,35.25
138,FFIV,2007-01-31,36.71,35.705,26532800,40.425,35.2
139,FFIV,2006-12-29,36.895,37.105,15206500,39.275,35.83
140,FFIV,2006-11-30,33.035,37.405,21422100,38.25,31.64
141,FFIV,2006-10-31,26.485,33.095,22333700,33.675,26.15
142,FFIV,2006-09-29,25.2,26.86,18173500,27.945,23.86
143,FFIV,2006-08-31,22.815,25.045,22598200,25.625,20.3
144,FFIV,2006-07-31,26.38,23.17,28422200,30.425,20.275
145,FFIV,2006-06-30,24.13,26.74,24390700,26.875,21.11
146,FFIV,2006-05-31,29.135,24.26,32895900,29.925,22.15
147,FFIV,2006-04-28,36.465,29.28,42101500,36.465,28.02
148,FFIV,2006-03-31,33.9,36.245,21930200,37.0,31.5
149,FFIV,2006-02-28,31.84,33.9,15935900,34.675,29.3
150,FFIV,2006-01-31,28.855,32.305,33075800,32.9,28.1
151,FFIV,2005-12-30,26.655,28.595,16699200,29.25,25.56
152,FFIV,2005-11-30,25.85,26.49,19898900,28.49,25.75
153,FFIV,2005-10-31,21.47,26.015,28542400,26.69,19.75
154,FFIV,2005-09-30,20.6,21.735,17882500,22.925,20.56
155,FFIV,2005-08-31,21.195,20.645,28473000,21.32,17.67
156,FFIV,2005-07-29,23.22,21.09,36023600,25.625,20.105
157,FFIV,2005-06-30,25.5,23.635,30524900,27.005,21.91
158,FFIV,2005-05-31,21.285,25.605,22068200,26.245,20.775
159,FFIV,2005-04-29,25.385,21.39,30968500,26.04,20.65
160,FFIV,2005-03-31,27.615,25.245,32903500,29.56,24.38
161,FFIV,2005-02-28,23.88,27.545,28106500,28.28,23.07
162,FFIV,2005-01-31,24.5,23.97,33670300,25.495,20.625
163,FFIV,2004-12-31,21.9,24.36,22815800,24.895,20.515
164,FFIV,2004-11-30,19.76,21.525,27171800,22.25,19.06
165,FFIV,2004-10-29,15.355,19.975,27140700,20.6,15.235
166,FFIV,2004-09-30,12.25,15.23,18489600,15.64,12.15
167,FFIV,2004-08-31,13.025,12.285,16926200,13.075,10.81
168,FFIV,2004-07-30,13.145,13.095,25173100,13.595,10.7
169,FFIV,2004-06-30,14.85,13.24,29257600,15.375,10.925
170,FFIV,2004-05-28,12.755,14.84,16040500,15.145,12.53
171,FFIV,2004-04-30,17.065,12.745,19217500,17.8,12.625
172,FFIV,2004-03-31,16.7,16.91,33055500,17.71,13.57
173,FFIV,2004-02-27,16.25,16.5,24008800,19.125,15.075
174,FFIV,2004-01-30,12.5745,17.0,25699200,19.605,12.565
175,FFIV,2003-12-31,13.065,12.55,11002800,13.375,10.895
176,FFIV,2003-11-28,12.565,12.91,15114200,13.275,11.65
177,FFIV,2003-10-31,9.64,12.505,16594200,13.725,9.625
178,FFIV,2003-09-30,10.005,9.62,14007700,10.925,9.02
179,FFIV,2003-08-29,9.375,9.805,8286900,10.125,8.3
180,FFIV,2003-07-31,8.425,9.375,12621600,9.62,8.1
181,FFIV,2003-06-30,8.725,8.31,12246300,9.43,7.93
182,FFIV,2003-05-30,6.855,8.659,11298800,8.86,6.65
183,FFIV,2003-04-30,6.495,6.89,10152900,7.16,6.075
184,FFIV,2003-03-31,7.05,6.315,13291800,7.75,5.695
185,FFIV,2003-02-28,6.505,6.985,6732700,7.22,6.31
186,FFIV,2003-01-31,5.375,6.48,8710100,7.345,5.35
187,FFIV,2002-12-31,7.12,5.37,9534100,7.575,5.13
188,FFIV,2002-11-29,4.59,7.01,13397400,7.315,4.53
189,FFIV,2002-10-31,3.875,4.695,10315200,5.36,3.2
190,FFIV,2002-09-30,6.125,3.775,8858600,6.15,3.66
191,FFIV,2002-08-30,6.195,6.25,9561000,7.74,4.995
192,FFIV,2002-07-31,4.935,6.26,12212400,6.49,3.565
193,FFIV,2002-06-28,5.825,4.89,9093200,6.39,3.655
194,FFIV,2002-05-31,6.545,5.905,13312400,7.085,5.325
195,FFIV,2002-04-30,11.93,6.51,40273900,11.93,5.63
196,FFIV,2002-03-28,11.07,11.62,34034600,13.615,10.365
197,FFIV,2002-02-28,11.75,10.925,27313100,12.905,9.205
198,FFIV,2002-01-31,10.645,11.69,33259500,12.78,8.89
199,FFIV,2001-12-31,11.07,10.77,23816700,14.365,9.92
200,FFIV,2001-11-30,7.525,11.165,18662700,12.17,7.525
201,FFIV,2001-10-31,4.505,7.545,15333100,8.74,3.5
202,FFIV,2001-09-28,7.775,4.64,6919900,7.875,4.255
203,FFIV,2001-08-31,7.33,7.91,8581000,8.75,5.675
204,FFIV,2001-07-31,9.075,7.305,14872800,9.25,6.385
205,FFIV,2001-06-29,5.55,8.785,18543300,9.6,5.15
206,FFIV,2001-05-31,3.605,5.615,10209400,7.1,3.575
207,FFIV,2001-04-30,2.844,3.745,7009700,4.585,1.875
208,FFIV,2001-03-30,3.3125,2.672,8343900,4.094,2.5
209,FFIV,2001-02-28,8.125,3.4845,7883500,8.44,3.344
210,FFIV,2001-01-31,4.719,8.5,24955800,8.905,4.719
211,FFIV,2000-12-29,12.75,4.75,26531300,15.345,4.75
212,FFIV,2000-11-30,15.655,12.44,16245500,20.47,11.565
213,FFIV,2000-10-31,17.405,15.5,24146200,17.5,11.19
214,FFIV,2000-09-29,30.625,17.0,25223300,30.75,16.5
215,FFIV,2000-08-31,22.75,29.0,14822300,30.0,20.25
216,FFIV,2000-07-31,27.25,22.595,22523100,28.25,19.125
217,FFIV,2000-06-30,16.53,27.28,22556800,28.875,16.44
218,FFIV,2000-05-31,23.845,16.125,31637000,24.125,14.19
