,symbol,date,open,close,volume,high,low
0,FISV,2018-07-23,73.7,77.39,18509610,77.78,73.54
1,FISV,2018-06-29,73.01,74.09,37326676,76.98,72.12
2,FISV,2018-05-31,70.85,72.6,39385816,73.56,68.43
3,FISV,2018-04-30,71.04,70.86,32080276,72.62,69.66
4,FISV,2018-03-29,71.31,71.31,29691624,71.31,69.77
5,FISV,2018-02-28,70.34,71.695,29140140,73.715,62.76
6,FISV,2018-01-31,65.98,70.42,18474095,72.1,64.91
7,FISV,2017-12-29,65.25,65.565,14440976,66.68,64.095
8,FISV,2017-11-30,62.0,65.725,22506571,65.925,60.19
9,FISV,2017-10-31,64.61,64.715,16981184,65.1,63.155
10,FISV,2017-09-29,62.095,64.48,15353773,64.805,60.585
11,FISV,2017-08-31,64.285,61.855,17498520,64.675,59.85
12,FISV,2017-07-31,61.38,64.25,13155084,64.285,60.365
13,FISV,2017-06-30,62.695,61.17,19016425,63.5486,60.1861
14,FISV,2017-05-31,59.75,62.64,16706283,62.665,58.665
15,FISV,2017-04-28,57.75,59.57,14876320,61.455,57.475
16,FISV,2017-03-31,58.09,57.655,20071474,59.15,56.645
17,FISV,2017-02-28,53.565,57.7,23201269,58.35,52.25555
18,FISV,2017-01-31,53.41,53.715,17324484,55.75,53.245
19,FISV,2016-12-30,52.275,53.14,18852003,54.555,51.3
20,FISV,2016-11-30,49.37,52.31,28642792,53.95,48.53
21,FISV,2016-10-31,49.55,49.24,25807677,50.5,46.405
22,FISV,2016-09-30,51.545,49.735,21730948,52.335,48.86505
23,FISV,2016-08-31,55.075,51.525,23484084,55.5,50.5
24,FISV,2016-07-29,54.255,55.18,16739015,55.755,53.985
25,FISV,2016-06-30,52.63,54.365,22239579,54.425,50.8
26,FISV,2016-05-31,48.8,52.665,21772607,53.065,48.755
27,FISV,2016-04-29,51.18,48.86,20446948,51.765,48.17
28,FISV,2016-03-31,48.36,51.29,24776630,51.44,47.83
29,FISV,2016-02-29,46.775,47.815,31173778,49.855,45.245
30,FISV,2016-01-29,45.045,47.28,25517208,47.32,42.815
31,FISV,2015-12-31,48.27,45.73,28204394,48.88,45.585
32,FISV,2015-11-30,48.425,48.12,22894464,48.76,47.11
33,FISV,2015-10-30,43.455,48.255,25731584,48.71,42.705
34,FISV,2015-09-30,41.715,43.305,27197598,44.6125,41.2
35,FISV,2015-08-31,43.425,42.635,25989231,45.26995,38.98
36,FISV,2015-07-31,41.73,43.43,25121947,44.385,41.58
37,FISV,2015-06-30,40.3,41.415,27988046,43.195,39.51
38,FISV,2015-05-29,39.035,40.075,20287484,40.83,38.535
39,FISV,2015-04-30,39.685,38.8,17617287,40.22,38.46
