,symbol,date,open,close,volume,high,low
0,HGV,2018-07-13,34.51,35.65,11583651,36.38,33.56
1,HGV,2018-06-29,39.92,34.7,23176652,40.65,33.61
2,HGV,2018-05-31,42.95,39.76,28903334,43.14,38.53
3,HGV,2018-04-30,43.09,43.0,22764530,44.49,41.96
4,HGV,2018-03-29,44.02,43.02,44679719,47.75,42.29
5,HGV,2018-02-28,44.76,43.16,12285237,45.87,41.84
6,HGV,2018-01-31,41.9,44.97,10995218,45.515,40.2802
7,HGV,2017-12-29,39.95,41.95,9090686,43.19,39.62
8,HGV,2017-11-30,41.13,39.97,11215636,42.22,38.56
9,HGV,2017-10-31,38.75,40.96,10726485,41.06,38.73
10,HGV,2017-09-29,36.45,38.63,10553310,39.4,34.87
11,HGV,2017-08-31,36.95,36.25,9308982,37.94,32.2
12,HGV,2017-07-31,36.0,36.76,8485254,37.28,34.92
13,HGV,2017-06-30,35.95,36.06,19040536,37.727,33.96
14,HGV,2017-05-31,33.5,35.77,11784749,37.21,32.955
15,HGV,2017-04-28,28.95,33.47,10596494,33.9,28.69
16,HGV,2017-03-31,30.09,28.66,11211240,31.39,27.92
17,HGV,2017-02-28,29.1,29.94,15228140,30.76,28.68
