,symbol,date,open,close,volume,high,low
0,HOLX,2018-07-13,39.48,42.01,14280864,42.21,38.83
1,HOLX,2018-06-29,38.15,39.75,48625514,40.87,37.8
2,HOLX,2018-05-31,38.71,37.89,53662259,40.07,35.1
3,HOLX,2018-04-30,37.24,38.79,47815427,39.51,36.14
4,HOLX,2018-03-29,38.82,37.36,47719173,39.84,36.71
5,HOLX,2018-02-28,42.5,38.83,54092083,43.06,35.33
6,HOLX,2018-01-31,42.75,42.7,55746142,45.09,42.47
7,HOLX,2017-12-29,41.7,42.75,46786055,44.19,40.37
8,HOLX,2017-11-30,37.99,41.72,66303398,42.68,37.46
9,HOLX,2017-10-31,36.83,37.85,61256148,38.27,35.76
10,HOLX,2017-09-29,38.63,36.69,62430223,39.59,36.2
11,HOLX,2017-08-31,44.37,38.6,90754205,44.41,37.11
12,HOLX,2017-07-31,45.49,44.21,36018192,45.61,43.82
13,HOLX,2017-06-30,43.38,45.38,50381789,46.8,43.28
14,HOLX,2017-05-31,45.21,43.31,59093491,46.05,42.44
15,HOLX,2017-04-28,42.4,45.15,42666635,45.2,42.12
16,HOLX,2017-03-31,40.87,42.55,47190594,42.97,40.66
17,HOLX,2017-02-28,40.67,40.58,53707853,41.24,37.76
18,HOLX,2017-01-31,40.0,40.53,37838579,40.77,39.07
19,HOLX,2016-12-30,38.28,40.12,57057841,41.01,37.46
20,HOLX,2016-11-30,35.99,38.28,63605762,39.55,35.15
21,HOLX,2016-10-31,38.54,36.01,47115271,40.2,35.5
22,HOLX,2016-09-30,38.39,38.83,44888714,39.3,36.84
23,HOLX,2016-08-31,38.59,38.42,53306070,39.35,37.935
24,HOLX,2016-07-29,34.51,38.49,48601499,38.71,33.6701
25,HOLX,2016-06-30,34.27,34.6,74308151,35.66,32.64
26,HOLX,2016-05-31,33.7,34.41,67786834,34.73,32.961
27,HOLX,2016-04-29,34.4,33.59,76161508,38.085,33.025
28,HOLX,2016-03-31,34.79,34.5,112065150,36.08,33.68
29,HOLX,2016-02-29,34.02,34.63,60107998,35.78,31.84
30,HOLX,2016-01-29,38.38,33.94,58207350,38.78,32.41
31,HOLX,2015-12-31,40.69,38.69,42101219,41.66,37.2344
32,HOLX,2015-11-30,38.78,40.35,45359149,41.21,38.44
33,HOLX,2015-10-30,39.02,38.86,60023348,39.8,36.29
