,symbol,date,open,close,volume,high,low
0,HSIC,2018-07-13,72.51,74.86,11030602,77.95,72.09
1,HSIC,2018-06-29,69.76,72.64,28878676,75.76,69.22
2,HSIC,2018-05-31,75.79,69.2,36425540,77.11,68.74
3,HSIC,2018-04-30,66.93,76.0,33746200,77.105,65.14
4,HSIC,2018-03-29,64.99,67.21,38066148,68.76,62.56
5,HSIC,2018-02-28,75.22,66.19,49748675,75.71,63.01
6,HSIC,2018-01-31,70.36,75.68,32209080,79.54,70.11
7,HSIC,2017-12-29,70.93,69.88,33709030,72.28,67.19
8,HSIC,2017-11-30,79.03,71.45,66359111,79.37,65.28
9,HSIC,2017-10-31,82.19,78.6,30046904,84.88,75.6
10,HSIC,2017-09-29,81.99,81.99,27164880,81.99,78.56
11,HSIC,2017-08-31,90.35,86.84,13949991,92.635,82.955
12,HSIC,2017-07-31,91.87,91.105,5914596,93.14,89.59
13,HSIC,2017-06-30,92.125,91.51,7572565,93.495,90.72
14,HSIC,2017-05-31,86.925,91.985,8598301,92.04,86.375
15,HSIC,2017-04-28,85.11,86.9,7147772,87.345,83.11
16,HSIC,2017-03-31,86.225,84.985,9363414,86.75,84.855
17,HSIC,2017-02-28,79.995,85.78,10969917,88.25,79.185
18,HSIC,2017-01-31,77.12,79.93,9473804,80.245,75.505
19,HSIC,2016-12-30,74.62,75.855,11961607,77.49,73.61
20,HSIC,2016-11-30,74.63,74.48,26449738,81.905,73.115
21,HSIC,2016-10-31,80.885,74.6,14445951,82.24,73.71
22,HSIC,2016-09-30,81.96,81.49,10225121,83.995,79.28
23,HSIC,2016-08-31,90.37,81.895,15621741,90.6025,79.265
24,HSIC,2016-07-29,88.46,90.49,5148855,91.5,87.935
25,HSIC,2016-06-30,86.68,88.4,10429720,90.49,83.2525
26,HSIC,2016-05-31,84.43,86.865,9815301,87.445,82.58
27,HSIC,2016-04-29,85.975,84.35,7417863,87.375,82.83
28,HSIC,2016-03-31,82.98,86.315,9561305,86.785,82.225
29,HSIC,2016-02-29,75.195,82.725,12080318,85.01,71.82
30,HSIC,2016-01-29,77.97,75.72,11214677,78.505,71.32
31,HSIC,2015-12-31,78.935,79.095,8760573,80.8075,76.05
32,HSIC,2015-11-30,76.595,78.24,9437805,78.73,74.99
33,HSIC,2015-10-30,66.85,75.855,10410954,76.27,65.855
34,HSIC,2015-09-30,67.09,66.36,8410659,69.745,63.58
35,HSIC,2015-08-31,73.975,68.405,9236188,74.22,63.085
36,HSIC,2015-07-31,71.65,73.99,8254343,74.975,71.145
37,HSIC,2015-06-30,71.21,71.06,8456348,73.225,69.5125
38,HSIC,2015-05-29,68.595,70.835,10199034,71.555,67.9
39,HSIC,2015-04-30,69.905,68.55,9820199,71.625,68.335
40,HSIC,2015-03-31,70.055,69.81,27011944,71.545,67.78
41,HSIC,2015-02-27,68.925,70.025,7793481,71.62,67.765
42,HSIC,2015-01-30,68.3,69.035,8471635,71.945,66.885
43,HSIC,2014-12-31,68.265,68.075,9517619,69.575,65.15
44,HSIC,2014-11-28,60.035,68.6,11451661,69.11,59.685
45,HSIC,2014-10-31,58.125,60.015,11879596,61.39475,54.67
46,HSIC,2014-09-30,59.84,58.235,9539630,60.5,57.77
47,HSIC,2014-08-29,58.205,59.845,7722400,60.24,57.27
48,HSIC,2014-07-31,59.585,58.125,8867800,60.185,57.99
49,HSIC,2014-06-30,59.895,59.3275,7608400,60.45,58.735
50,HSIC,2014-05-30,57.425,59.825,9660400,59.87,56.05
51,HSIC,2014-04-30,59.785,57.115,9252100,60.494,55.495
52,HSIC,2014-03-31,58.945,59.685,8798000,60.36,57.545
53,HSIC,2014-02-28,57.45,59.52,9820200,60.15,54.8425
54,HSIC,2014-01-31,57.005,57.445,9208000,59.26,56.0565
55,HSIC,2013-12-31,56.73,57.13,7438800,58.035,55.2
56,HSIC,2013-11-29,56.63,57.0,6645600,57.73,54.38
57,HSIC,2013-10-31,51.685,56.215,8316100,56.845,51.445
58,HSIC,2013-09-30,51.08,51.8825,8249600,53.0,50.32
59,HSIC,2013-08-30,52.515,50.525,8418000,53.875,50.395
60,HSIC,2013-07-31,48.22,51.915,7168000,52.405,47.97
61,HSIC,2013-06-28,48.135,47.87,8946100,49.14,46.43
62,HSIC,2013-05-31,45.06,48.145,8411800,48.545,44.585
63,HSIC,2013-04-30,46.065,45.2,7217200,46.45,44.45
64,HSIC,2013-03-28,44.35,46.275,7256900,46.33,43.95
65,HSIC,2013-02-28,43.435,44.61,9687300,45.55735,42.94
66,HSIC,2013-01-31,40.795,43.17,7999900,43.95,40.795
67,HSIC,2012-12-31,40.5,40.21,8894700,41.455,39.48
68,HSIC,2012-11-30,37.04,40.385,9521800,40.65,36.99
69,HSIC,2012-10-31,39.835,36.875,8712700,40.21,36.675
70,HSIC,2012-09-28,38.255,39.61,8210800,40.375,37.945
71,HSIC,2012-08-31,37.5,38.405,7525200,39.25,36.42
72,HSIC,2012-07-31,39.55,37.405,9476400,39.83,37.045
73,HSIC,2012-06-29,36.5425,39.245,12900100,40.19,35.985
74,HSIC,2012-05-31,38.34,37.155,12841400,39.08,36.215
75,HSIC,2012-04-30,37.86,38.37,7799000,38.86,36.375
76,HSIC,2012-03-30,37.045,37.84,8751200,38.52485,35.86
77,HSIC,2012-02-29,35.665,37.01,12383700,37.99,35.15
78,HSIC,2012-01-31,32.73,35.445,8094300,35.95,32.37035
79,HSIC,2011-12-30,32.225,32.215,7645100,32.95,30.565
80,HSIC,2011-11-30,31.87,32.17,14616500,33.5,29.89
81,HSIC,2011-10-31,30.765,34.66,14072400,35.565,29.28
82,HSIC,2011-09-30,33.065,31.005,10322200,33.49,29.89
83,HSIC,2011-08-31,33.395,32.955,18587300,33.52,29.25
84,HSIC,2011-07-29,35.865,33.23,8705600,37.49,32.945
85,HSIC,2011-06-30,35.885,35.795,10797800,36.115,34.025
86,HSIC,2011-05-31,36.265,35.91,10033300,37.24,34.88
87,HSIC,2011-04-29,35.13,36.535,9605100,36.81,33.99
88,HSIC,2011-03-31,34.645,35.085,8964600,35.12,32.39995
89,HSIC,2011-02-28,33.06,34.49,10341800,34.965,32.53
90,HSIC,2011-01-31,31.025,32.83,9597400,33.3,30.63
91,HSIC,2010-12-31,29.0,30.695,9239600,31.31,28.925
92,HSIC,2010-11-30,28.16,28.6875,9882100,29.265,27.775
93,HSIC,2010-10-29,29.29,28.075,10377200,29.965,27.9019
94,HSIC,2010-09-30,26.69,29.29,11010900,29.435,26.665
95,HSIC,2010-08-31,26.645,26.4,14681200,27.89,25.53
96,HSIC,2010-07-30,27.44,26.245,13074900,28.1445,25.48
97,HSIC,2010-06-30,28.085,27.45,13696800,28.72,26.705
98,HSIC,2010-05-28,30.285,28.205,14045900,30.8575,26.77
99,HSIC,2010-04-30,29.64,30.25,12075900,31.315,29.24
100,HSIC,2010-03-31,28.555,29.45,16347700,29.635,27.83
101,HSIC,2010-02-26,27.18,28.415,15269700,28.915,26.645
102,HSIC,2010-01-29,26.635,27.025,13479800,28.335,26.45375
103,HSIC,2009-12-31,24.905,26.3,15720500,26.83,24.68
104,HSIC,2009-11-30,26.58,24.83,19045500,27.2,24.55
105,HSIC,2009-10-30,27.455,26.415,15422600,28.46,26.36
106,HSIC,2009-09-30,26.595,27.455,12780500,28.25025,25.892
107,HSIC,2009-08-31,26.07,26.49,12610500,26.605,24.69
108,HSIC,2009-07-31,23.86,25.69,20615500,25.995,21.91
109,HSIC,2009-06-30,22.845,23.975,18872700,23.99,21.795
110,HSIC,2009-05-29,20.555,22.77,21280600,23.495,20.315
111,HSIC,2009-04-30,19.84,20.52,17809200,21.04,19.385
112,HSIC,2009-03-31,18.055,19.995,24947600,20.3,16.775
113,HSIC,2009-02-27,18.63,18.34,21515900,19.695,18.0
114,HSIC,2009-01-30,18.255,18.715,18706900,19.755,17.6
115,HSIC,2008-12-31,17.585,18.345,21852100,18.5,16.09
116,HSIC,2008-11-28,23.35,17.865,23983900,23.795,16.04
117,HSIC,2008-10-31,26.865,23.405,22819600,27.83,20.475
118,HSIC,2008-09-30,29.64,26.92,17983400,29.925,25.7675
119,HSIC,2008-08-29,26.905,29.24,14866400,30.21,26.175
120,HSIC,2008-07-31,25.685,26.78,18315100,27.75,24.465
121,HSIC,2008-06-30,27.79,25.785,18174300,28.11,25.37
122,HSIC,2008-05-30,28.0,27.86,15298200,28.75,27.095
123,HSIC,2008-04-30,28.95,27.685,17653400,29.715,26.38
124,HSIC,2008-03-31,29.7,28.7,15027800,30.19,27.625
125,HSIC,2008-02-29,29.03,29.91,18856700,31.035,28.2
126,HSIC,2008-01-31,30.97,29.065,22514200,31.81,28.25
127,HSIC,2007-12-31,29.355,30.7,9180600,31.6,28.185
128,HSIC,2007-11-30,30.615,29.575,14902900,31.4,27.745
129,HSIC,2007-10-31,30.385,29.95,16444200,31.725,28.615
130,HSIC,2007-09-28,29.02,30.42,8391800,30.535,28.215
131,HSIC,2007-08-31,27.19,29.095,14806200,30.99,26.975
132,HSIC,2007-07-31,26.66,27.17,7423700,28.115,26.66
133,HSIC,2007-06-29,26.825,26.715,8671200,27.115,26.0
