,symbol,date,open,close,volume,high,low
0,IDXX,2018-07-23,216.83,248.55,5691074,248.719,215.28
1,IDXX,2018-06-29,210.51,217.94,8601485,229.01,210.51
2,IDXX,2018-05-31,194.02,208.21,12210610,217.89,189.415
3,IDXX,2018-04-30,191.29,194.49,7667226,202.26,183.86
4,IDXX,2018-03-29,187.39,191.39,11498770,207.14,180.331
5,IDXX,2018-02-28,189.53,187.23,13072159,198.73,166.7
6,IDXX,2018-01-31,157.59,187.04,10249189,188.55,157.53
7,IDXX,2017-12-29,156.14,156.38,8945536,165.77,151.7359
8,IDXX,2017-11-30,167.79,156.41,12445304,167.79,146.09
9,IDXX,2017-10-31,156.13,166.17,8702904,168.66,153.45
10,IDXX,2017-09-29,155.72,155.49,8561856,162.49,152.96
11,IDXX,2017-08-31,163.84,155.43,14440261,165.41,148.8
12,IDXX,2017-07-31,162.39,166.46,10301431,171.37,157.77
13,IDXX,2017-06-30,166.88,161.42,14898374,173.01,156.02
14,IDXX,2017-05-31,168.3,168.39,11864831,169.23,158.83
15,IDXX,2017-04-28,155.07,167.73,11179306,172.0,153.24
16,IDXX,2017-03-31,145.84,154.61,16147770,155.65,145.24
17,IDXX,2017-02-28,122.4,144.94,13783234,146.17,121.19
18,IDXX,2017-01-31,118.29,122.33,34767793,122.47,113.92
19,IDXX,2016-12-30,118.19,117.27,10673129,121.7699,113.47
20,IDXX,2016-11-30,110.05,117.65,12144944,121.06,102.45
21,IDXX,2016-10-31,112.37,107.14,10290006,117.84,103.765
22,IDXX,2016-09-30,113.01,112.73,8643642,115.06,107.71
23,IDXX,2016-08-31,93.43,112.68,14057692,113.48,93.14
24,IDXX,2016-07-29,93.16,93.79,8383242,95.55,92.52
25,IDXX,2016-06-30,87.56,92.86,14232960,92.87,85.98
26,IDXX,2016-05-31,85.0,87.57,21893264,91.9448,83.65
27,IDXX,2016-04-29,77.53,84.35,17458886,84.5,76.55
28,IDXX,2016-03-31,73.42,78.32,12974717,79.0299,72.29
29,IDXX,2016-02-29,69.85,73.16,15572769,74.4,66.82
30,IDXX,2016-01-29,72.35,70.14,17595171,72.8199,63.48
31,IDXX,2015-12-31,70.25,72.92,10175323,74.99,68.0001
32,IDXX,2015-11-30,68.66,70.82,10604394,71.44,66.08
33,IDXX,2015-10-30,74.08,68.62,20207393,77.27,65.03
34,IDXX,2015-09-30,69.94,74.25,11554332,79.11,69.46
35,IDXX,2015-08-31,73.19,71.47,15011657,79.62,69.77
36,IDXX,2015-07-31,64.97,72.73,20707334,73.77,61.58
37,IDXX,2015-06-30,64.14,64.14,13106817,64.14,63.37
38,IDXX,2015-05-29,62.5,67.8,9557018,69.815,62.5
39,IDXX,2015-04-30,76.885,62.685,9932043,82.2375,61.37
40,IDXX,2015-03-31,78.265,77.24,6737485,79.93,74.02
41,IDXX,2015-02-27,79.535,78.415,6499108,80.46,76.16
42,IDXX,2015-01-30,74.315,79.21,9149359,84.255,72.38
43,IDXX,2014-12-31,74.56,74.135,7283212,75.495,71.315
44,IDXX,2014-11-28,71.045,74.675,9323449,76.945,69.99
45,IDXX,2014-10-31,58.695,70.835,14231917,72.255,57.56
46,IDXX,2014-09-30,62.15,58.915,11504737,63.88,56.745
47,IDXX,2014-08-29,62.215,61.985,8445900,64.5455,60.77
48,IDXX,2014-07-31,66.785,62.24,8324600,70.0,62.22
49,IDXX,2014-06-30,64.25,66.785,4460700,68.065,63.76
50,IDXX,2014-05-30,63.225,64.24,5687900,66.7,62.835
51,IDXX,2014-04-30,61.0,63.22,6408300,63.415,57.92
52,IDXX,2014-03-31,62.345,60.7,6385500,64.635,60.025
53,IDXX,2014-02-28,56.845,62.95,6767200,63.495,54.29
54,IDXX,2014-01-31,52.995,57.13,6631300,57.5,52.3176
55,IDXX,2013-12-31,51.98,53.185,9428600,53.59,50.665
56,IDXX,2013-11-29,54.0,52.08,6198900,56.555,51.89
57,IDXX,2013-10-31,49.835,53.93,7612500,54.39,49.56625
58,IDXX,2013-09-30,47.13,49.825,4703400,50.175,46.045
59,IDXX,2013-08-30,49.145,46.91,4641700,50.185,46.85
60,IDXX,2013-07-31,45.22,48.995,9515000,49.45,43.995
61,IDXX,2013-06-28,41.39,44.845,10396700,46.3,41.11
62,IDXX,2013-05-31,43.76,41.22,8934900,44.52,40.785
63,IDXX,2013-04-30,46.03,43.98,13091500,46.2,41.525
64,IDXX,2013-03-28,45.915,46.195,5773200,47.135,45.095
65,IDXX,2013-02-28,47.82,46.06,6892800,48.115,45.375
66,IDXX,2013-01-31,47.295,47.605,8347300,50.405,46.6
67,IDXX,2012-12-31,46.815,46.4,5056200,48.5679,45.545
68,IDXX,2012-11-30,47.945,46.735,7740700,48.22,43.755
69,IDXX,2012-10-31,49.855,48.1,4854000,50.025,47.61
70,IDXX,2012-09-28,47.635,49.675,5596700,50.59,47.16
71,IDXX,2012-08-31,43.92,47.53,5850500,47.905,43.375
72,IDXX,2012-07-31,48.055,44.085,8584900,49.19,43.18
73,IDXX,2012-06-29,41.65,48.065,6326400,48.399,40.655
74,IDXX,2012-05-31,43.91,42.42,5777800,44.81,40.955
75,IDXX,2012-04-30,43.575,43.965,5739700,44.5,41.35
76,IDXX,2012-03-30,42.815,43.725,5340300,43.935,41.28
77,IDXX,2012-02-29,42.44,42.875,4432700,44.748,42.3211
78,IDXX,2012-01-31,38.945,42.295,5743300,43.8435,38.905
79,IDXX,2011-12-30,37.335,38.48,5173300,39.645,35.865
80,IDXX,2011-11-30,35.28,37.595,5844300,38.985,34.475
81,IDXX,2011-10-31,34.305,35.995,8284600,38.225,31.915
82,IDXX,2011-09-30,39.82,34.485,7916700,40.24,34.455
83,IDXX,2011-08-31,41.695,39.89,11298400,41.75,35.3275
84,IDXX,2011-07-29,38.71,41.47,6930700,43.645,38.44
85,IDXX,2011-06-30,39.16,38.78,6557400,39.36,35.995
86,IDXX,2011-05-31,40.75,39.36,4665200,41.455,38.455
87,IDXX,2011-04-29,38.72,40.715,4034700,41.12,38.43
88,IDXX,2011-03-31,39.005,38.61,5190000,39.945,37.335
89,IDXX,2011-02-28,36.03,38.85,4594400,39.665,35.145
90,IDXX,2011-01-31,34.92,35.85,6693200,37.0,33.65
91,IDXX,2010-12-31,32.44,34.61,4253600,36.2,32.37005
92,IDXX,2010-11-30,30.08,32.105,4688600,32.98,29.825
93,IDXX,2010-10-29,31.03,29.98,4719600,31.87,29.915
94,IDXX,2010-09-30,28.025,30.86,4048200,31.205,27.77
95,IDXX,2010-08-31,29.82,27.635,5291300,30.08,27.4
96,IDXX,2010-07-30,30.4,29.37,7232400,32.0,28.745
97,IDXX,2010-06-30,31.615,30.45,4116800,33.01,30.075
98,IDXX,2010-05-28,33.245,31.62,5749600,33.73,29.285
99,IDXX,2010-04-30,28.935,33.07,9417500,34.285,28.655
100,IDXX,2010-03-31,26.405,28.775,5746100,29.645,26.075
101,IDXX,2010-02-26,26.375,26.4,8952800,27.185,24.515
102,IDXX,2010-01-29,26.85,26.245,6402300,29.975,26.245
