,symbol,date,open,close,volume,high,low
0,KORS,2018-07-13,66.36,66.55,19120962,68.5,63.79
1,KORS,2018-06-29,57.6,66.6,64385113,69.02,57.1
2,KORS,2018-05-31,67.61,57.39,73692382,69.25,57.29
3,KORS,2018-04-30,61.84,68.42,36175298,70.0,60.58
4,KORS,2018-03-29,62.88,62.08,36935603,64.54,60.47
5,KORS,2018-02-28,65.32,62.93,61841543,69.95,56.21
6,KORS,2018-01-31,63.18,66.0,33436685,68.35,62.73
7,KORS,2017-12-29,58.71,62.95,42258121,64.3,57.7849
8,KORS,2017-11-30,49.31,58.44,66150730,59.27,47.49
9,KORS,2017-10-31,48.06,48.81,36716925,50.17,46.7
10,KORS,2017-09-29,42.44,47.85,40990822,48.59,41.81
11,KORS,2017-08-31,36.45,42.22,65858060,46.26,35.73
12,KORS,2017-07-31,36.23,36.44,39565281,36.78,32.81
13,KORS,2017-06-30,33.22,36.25,60576278,36.43,32.5
14,KORS,2017-05-31,37.43,33.18,55723006,38.97,32.38
15,KORS,2017-04-28,38.16,37.33,31277347,38.46,36.38
16,KORS,2017-03-31,36.87,38.11,54772246,38.59,35.91
17,KORS,2017-02-28,42.18,36.5,81592684,42.32,34.92
18,KORS,2017-01-31,42.78,42.81,41443017,44.25,40.81
19,KORS,2016-12-30,46.5,42.98,46578930,51.42,41.95
20,KORS,2016-11-30,50.95,46.49,76945157,52.67,46.12
21,KORS,2016-10-31,46.61,50.78,57030613,51.28,45.18
22,KORS,2016-09-30,48.88,46.79,46957725,51.06,46.44
23,KORS,2016-08-31,51.8,48.95,73710918,53.29,46.5
24,KORS,2016-07-29,49.53,51.72,45721675,52.97,48.0
25,KORS,2016-06-30,45.29,49.48,105146340,51.58,43.73
26,KORS,2016-05-31,51.97,42.72,89733276,53.055,40.36
27,KORS,2016-04-29,56.82,51.66,61294133,58.63,50.4104
28,KORS,2016-03-31,56.99,56.96,52706438,59.49,55.05
29,KORS,2016-02-29,39.93,56.65,119106910,57.39,39.62
30,KORS,2016-01-29,39.39,39.9,57134882,40.86,34.83
31,KORS,2015-12-31,43.1,40.06,58160077,43.87,38.97
32,KORS,2015-11-30,38.92,43.02,84657873,44.795,37.9
33,KORS,2015-10-30,42.21,38.64,69298632,44.38,37.91
34,KORS,2015-09-30,42.79,42.24,51459299,45.43,40.12
35,KORS,2015-08-31,41.4,43.46,106046670,45.82,36.63
36,KORS,2015-07-31,42.63,41.99,83945474,44.17,38.8
37,KORS,2015-06-30,46.98,42.09,123072171,49.71,41.52
38,KORS,2015-05-29,62.11,46.5,147476356,63.31,45.53
39,KORS,2015-04-30,64.03,61.86,66649563,65.83,61.225
40,KORS,2015-03-31,67.46,65.75,61632329,68.93,63.31
41,KORS,2015-02-27,70.85,67.41,81038906,73.47,67.11
42,KORS,2015-01-30,75.56,70.79,81738243,75.9,65.1
43,KORS,2014-12-31,76.36,75.1,67499861,78.547,73.15
44,KORS,2014-11-28,78.7,76.71,98690534,79.06,68.25
45,KORS,2014-10-31,71.57,78.59,64103792,79.7,68.55
46,KORS,2014-09-30,80.15,71.39,83310426,81.54,70.44
47,KORS,2014-08-29,81.5,80.12,76557000,83.38,75.13
48,KORS,2014-07-31,89.16,81.48,89208300,91.79,77.75
49,KORS,2014-06-30,94.54,88.65,56764900,95.91,87.7
50,KORS,2014-05-30,91.05,94.38,62830600,98.96,90.1
51,KORS,2014-04-30,93.87,91.2,56260600,96.1,85.7088
52,KORS,2014-03-31,97.4,93.27,43989800,99.66,89.43
53,KORS,2014-02-28,80.4,98.03,79426600,101.04,76.15
54,KORS,2014-01-31,80.94,79.93,82497200,83.5,74.11
55,KORS,2013-12-31,81.65,81.19,64923800,84.58,78.59
56,KORS,2013-11-29,77.15,81.55,125798900,83.134,73.26
57,KORS,2013-10-31,74.74,76.95,83406600,78.83,70.59
58,KORS,2013-09-30,74.7,74.52,59386000,78.621,72.68
59,KORS,2013-08-30,68.12,74.09,87035600,74.2787,67.65
60,KORS,2013-07-31,62.14,67.34,66237100,67.78,60.08
61,KORS,2013-06-28,63.01,62.02,71626000,63.1,56.15
62,KORS,2013-05-31,56.57,62.82,93193800,66.18,56.1
63,KORS,2013-04-30,56.79,56.94,83830300,57.72,51.63
64,KORS,2013-03-28,59.0,56.79,107543700,61.328,54.2
65,KORS,2013-02-28,56.83,59.28,151433200,65.1,52.77
66,KORS,2013-01-31,52.42,56.13,84161200,60.0,49.98
67,KORS,2012-12-31,53.48,51.03,63200100,55.15,47.26
68,KORS,2012-11-30,55.33,53.15,83160600,58.62,46.66
69,KORS,2012-10-31,53.8,54.69,57123600,57.92,51.67
70,KORS,2012-09-28,54.0,53.18,89556600,57.35,51.02
71,KORS,2012-08-31,41.55,53.95,88192400,54.92,38.94
72,KORS,2012-07-31,42.03,41.29,47842000,44.73,37.77
73,KORS,2012-06-29,38.1,41.84,95722600,44.5,35.5
74,KORS,2012-05-31,45.69,39.38,57421300,49.5,37.0
75,KORS,2012-04-30,46.8,45.67,45840800,48.0,39.73
76,KORS,2012-03-30,43.69,46.59,76463400,50.69,43.6
77,KORS,2012-02-29,31.0,43.25,38746400,44.97,30.76
78,KORS,2012-01-31,27.25,30.95,20043900,31.37,25.5
