,symbol,date,open,close,volume,high,low
0,LKQ,2018-07-23,31.82,34.22,26661148,34.295,31.25
1,LKQ,2018-06-29,31.95,31.9,51715413,33.46,31.37
2,LKQ,2018-05-31,30.96,31.77,58122057,31.99,29.65
3,LKQ,2018-04-30,37.83,31.02,57791969,39.51,29.6
4,LKQ,2018-03-29,39.47,37.95,34973869,39.84,37.03
5,LKQ,2018-02-28,41.73,39.48,38202786,42.49,37.46
6,LKQ,2018-01-31,41.04,42.03,26141748,43.8599,40.41
7,LKQ,2017-12-29,39.53,40.67,31470669,41.42,38.85
8,LKQ,2017-11-30,37.88,39.42,26489981,39.63,36.49
9,LKQ,2017-10-31,36.08,37.69,28202215,37.72,35.78
10,LKQ,2017-09-29,34.73,35.99,22949950,36.05,34.45
11,LKQ,2017-08-31,34.74,34.65,28790853,34.75,33.44
12,LKQ,2017-07-31,33.2,34.56,35379144,34.66,31.17
13,LKQ,2017-06-30,31.58,32.95,33991589,33.09,31.25
14,LKQ,2017-05-31,31.54,31.49,35451788,31.966,30.61
15,LKQ,2017-04-28,29.14,31.24,46073142,32.47,27.85
16,LKQ,2017-03-31,31.9,29.27,59532194,32.3,29.03
17,LKQ,2017-02-28,31.91,31.58,52217685,33.17,30.58
18,LKQ,2017-01-31,30.99,31.91,41571377,31.99,30.71
19,LKQ,2016-12-30,32.84,30.65,41136413,34.3,30.54
20,LKQ,2016-11-30,32.34,32.83,35067844,33.59,30.98
21,LKQ,2016-10-31,35.31,32.28,49948500,35.58,29.57
22,LKQ,2016-09-30,35.9,35.46,40840815,36.3,34.03
23,LKQ,2016-08-31,34.4,36.09,34488763,36.35,34.25
24,LKQ,2016-07-29,31.7,34.39,39087758,34.51,31.18
25,LKQ,2016-06-30,32.78,31.7,46410082,33.62,29.37
26,LKQ,2016-05-31,32.05,33.07,106620723,33.475,31.23
27,LKQ,2016-04-29,31.75,32.05,42957517,34.26,31.02
28,LKQ,2016-03-31,27.79,31.93,44845420,32.12,27.66
29,LKQ,2016-02-29,27.23,27.6,35656491,29.0,23.95
30,LKQ,2016-01-29,29.27,27.4,36877566,29.49,25.01
31,LKQ,2015-12-31,29.55,29.63,29553861,30.26,27.08
32,LKQ,2015-11-30,29.69,29.49,24963572,30.5,28.685
33,LKQ,2015-10-30,28.37,29.61,37260108,30.318,27.56
34,LKQ,2015-09-30,29.45,28.36,30987807,31.04,27.81
35,LKQ,2015-08-31,31.52,29.99,29800321,31.9899,26.67
36,LKQ,2015-07-31,30.47,31.46,40632881,32.25,29.927
37,LKQ,2015-06-30,28.62,30.245,27600214,30.82,28.43
38,LKQ,2015-05-29,27.31,28.57,29106055,29.0,26.53
39,LKQ,2015-04-30,25.55,27.07,41426450,27.88,24.92
40,LKQ,2015-03-31,24.6,25.56,73146050,25.76,23.39
41,LKQ,2015-02-27,25.86,24.575,47586847,27.91,22.9
42,LKQ,2015-01-30,28.22,25.81,25018072,28.23,25.115
43,LKQ,2014-12-31,28.96,28.12,25908113,29.64,26.74
44,LKQ,2014-11-28,28.55,29.05,20180572,29.555,28.16
45,LKQ,2014-10-31,26.51,28.57,36813968,28.95,25.04
