,symbol,date,open,close,volume,high,low
0,MU,2018-07-13,51.52,56.35,338697186,56.59,50.1
1,MU,2018-06-29,58.81,52.44,1034243335,62.55,51.79
2,MU,2018-05-31,45.59,57.59,1159858567,64.66,45.3302
3,MU,2018-04-30,51.54,45.98,1075370239,54.27,45.315
4,MU,2018-03-29,48.77,52.14,1526388601,63.42,45.95
5,MU,2018-02-28,43.04,48.81,812375552,49.46,37.52
6,MU,2018-01-31,41.54,43.72,817533592,46.98,41.19
7,MU,2017-12-29,41.73,41.12,874876368,46.8,39.07
8,MU,2017-11-30,44.79,42.39,685917210,49.89,41.86
9,MU,2017-10-31,39.6,44.31,816089036,44.57,38.81
10,MU,2017-09-29,32.13,39.33,703723619,39.36,31.65
11,MU,2017-08-31,28.22,31.97,532258983,32.02,26.85
12,MU,2017-07-31,30.09,28.12,546043389,32.35,27.87
13,MU,2017-06-30,30.75,29.86,746409696,32.96,29.21
14,MU,2017-05-31,27.85,30.77,504076948,31.1,26.96
15,MU,2017-04-28,28.95,27.67,458888564,29.04,26.36
16,MU,2017-03-31,24.16,28.9,728246076,29.87,24.07
17,MU,2017-02-28,24.43,23.44,485702018,25.31,22.64
18,MU,2017-01-31,22.07,24.11,448565371,24.24,21.49
19,MU,2016-12-30,19.7,21.92,631648493,23.64,18.18
20,MU,2016-11-30,17.2,19.53,537962343,20.44,16.45
21,MU,2016-10-31,17.99,17.16,539021947,18.331,16.17
22,MU,2016-09-30,16.61,17.78,541955812,18.16,16.3
23,MU,2016-08-31,13.81,16.49,529876278,17.25,13.02
24,MU,2016-07-29,12.58,13.74,612699690,14.89,11.5
25,MU,2016-06-30,12.61,13.76,697866986,14.16,11.575
26,MU,2016-05-31,10.8,12.72,561927073,12.91,9.35
27,MU,2016-04-29,10.28,10.75,517968396,12.405,10.05
28,MU,2016-03-31,10.77,10.47,527378418,12.29,10.01
29,MU,2016-02-29,11.0,10.63,461446712,11.75,9.45
30,MU,2016-01-29,13.83,11.03,651121183,15.08,9.31
31,MU,2015-12-31,16.18,14.16,503631565,16.63,13.51
32,MU,2015-11-30,16.96,15.93,370884734,18.05,14.65
33,MU,2015-10-30,14.99,16.56,698616370,19.3,14.5
34,MU,2015-09-30,15.8,14.98,540928234,17.97,13.92
35,MU,2015-08-31,18.61,16.41,698868996,19.47,13.5
