,symbol,date,open,close,volume,high,low
0,MYL,2018-07-13,36.03,36.58,24938055,37.4,35.56
1,MYL,2018-06-29,38.82,36.14,111489836,42.5,35.89
2,MYL,2018-05-31,38.56,38.46,100653302,40.46,34.95
3,MYL,2018-04-30,40.86,38.76,78967764,41.94,38.44
4,MYL,2018-03-29,41.6,41.17,102137744,44.18,38.58
5,MYL,2018-02-28,42.65,40.32,88631613,43.5,38.1
6,MYL,2018-01-31,42.35,42.85,125209284,47.82,42.28
7,MYL,2017-12-29,36.97,42.31,132005662,42.53,36.06
8,MYL,2017-11-30,35.63,36.53,102529559,38.44,34.96
9,MYL,2017-10-31,31.18,35.71,147283436,39.68,31.03
10,MYL,2017-09-29,31.51,31.37,123436215,33.67,30.69
11,MYL,2017-08-31,39.05,31.48,208204415,39.05,29.39
12,MYL,2017-07-31,38.93,38.99,66446219,39.8,37.28
13,MYL,2017-06-30,39.08,38.82,122969736,40.67,36.5
14,MYL,2017-05-31,37.64,38.98,116200548,40.1,36.59
15,MYL,2017-04-28,38.63,37.35,90840735,40.07,36.54
16,MYL,2017-03-31,44.34,38.99,156674110,45.87,38.95
17,MYL,2017-02-28,38.68,41.85,108045275,42.7,38.07
18,MYL,2017-01-31,38.48,38.05,104423575,40.0811,35.16
19,MYL,2016-12-30,36.62,38.15,107417049,38.79,33.79
20,MYL,2016-11-30,36.54,36.61,140345621,40.5,33.6
21,MYL,2016-10-31,38.1,36.5,149414001,40.45,35.58
22,MYL,2016-09-30,42.52,38.12,150544423,43.72,37.65
23,MYL,2016-08-31,46.79,42.36,164857724,50.4,41.87
24,MYL,2016-07-29,43.34,46.79,67958651,48.34,41.99
25,MYL,2016-06-30,43.24,43.24,111325539,47.0,41.615
26,MYL,2016-05-31,42.1,43.34,113621073,44.56,38.01
27,MYL,2016-04-29,46.22,41.71,112015141,49.42,41.31
28,MYL,2016-03-31,46.46,46.35,105928367,48.7096,43.65
29,MYL,2016-02-29,51.92,45.07,157213686,53.21,40.04
30,MYL,2016-01-29,52.88,52.69,108770985,54.44,48.03
31,MYL,2015-12-31,51.88,54.07,125147551,55.505,50.13
32,MYL,2015-11-30,44.87,51.3,198996847,52.46,42.56
33,MYL,2015-10-30,40.6,44.09,196962175,48.04,37.59
34,MYL,2015-09-30,48.61,40.26,156397032,50.16,39.16
35,MYL,2015-08-31,55.89,49.59,181001348,57.81,45.5
36,MYL,2015-07-31,68.52,55.99,168973308,73.91,53.81
37,MYL,2015-06-30,72.42,67.86,109673477,74.66,67.33
38,MYL,2015-05-29,72.72,72.63,120113985,74.61,69.49
39,MYL,2015-04-30,58.44,72.26,308170561,76.685,57.46
40,MYL,2015-03-31,58.0,59.35,123607999,65.63,54.81
41,MYL,2015-02-27,53.55,57.325,53845122,58.37,52.21
42,MYL,2015-01-30,56.54,53.15,74125762,57.32,52.39
