,symbol,date,open,close,volume,high,low
0,PWR,2018-07-13,33.07,33.68,10943223,34.35,32.91
1,PWR,2018-06-29,36.25,33.4,27191961,37.44,32.83
2,PWR,2018-05-31,32.57,36.01,28643639,37.06,32.19
3,PWR,2018-04-30,34.24,32.5,24267408,35.06,32.37
4,PWR,2018-03-29,34.32,34.35,34677330,36.375,33.13
5,PWR,2018-02-28,38.4,34.44,35198051,38.58,32.7
6,PWR,2018-01-31,39.29,38.49,26207552,40.105,38.05
7,PWR,2017-12-29,37.93,39.11,27300037,39.71,36.34
8,PWR,2017-11-30,37.79,37.9,30621090,38.2,35.3
9,PWR,2017-10-31,37.21,37.73,22262243,38.35,36.88
10,PWR,2017-09-29,36.09,37.37,25796114,37.75,35.34
11,PWR,2017-08-31,33.87,35.93,41370143,37.35,33.6
12,PWR,2017-07-31,33.08,33.73,32577784,35.0,32.36
13,PWR,2017-06-30,30.81,32.92,34213808,33.41,30.44
14,PWR,2017-05-31,35.61,30.66,38299399,36.66,30.23
15,PWR,2017-04-28,37.28,35.44,29253738,37.49,34.14
16,PWR,2017-03-31,37.97,37.11,35495437,38.56,35.07
17,PWR,2017-02-28,36.16,37.32,31065740,38.82,35.3
18,PWR,2017-01-31,35.16,35.89,33885965,38.08,33.66
19,PWR,2016-12-30,34.03,34.85,40486183,36.85,33.54
20,PWR,2016-11-30,28.86,33.72,61855221,34.14,27.29
21,PWR,2016-10-31,27.83,28.75,40276142,29.5,27.43
22,PWR,2016-09-30,25.67,27.99,42421137,28.14,24.49
23,PWR,2016-08-31,25.59,25.73,48061892,26.515,23.22
24,PWR,2016-07-29,23.13,25.6,34176430,25.975,22.58
25,PWR,2016-06-30,23.82,23.12,47181069,24.47,21.6
26,PWR,2016-05-31,23.74,24.03,63822540,24.22,22.13
27,PWR,2016-04-29,22.32,23.72,43507841,24.38,21.71
28,PWR,2016-03-31,20.33,22.56,56321912,22.87,20.29
29,PWR,2016-02-29,18.65,20.29,75678262,20.4175,16.77
30,PWR,2016-01-29,19.97,18.7,72773597,20.61,17.05
31,PWR,2015-12-31,22.13,20.25,73903207,23.25,19.45
32,PWR,2015-11-30,20.05,22.05,84620465,22.51,19.55
33,PWR,2015-10-30,24.29,20.11,108878256,27.05,18.46
34,PWR,2015-09-30,23.56,24.21,66822889,25.2654,23.035
35,PWR,2015-08-31,27.54,24.24,88124858,27.86,21.35
36,PWR,2015-07-31,29.03,27.62,45961222,29.1,26.503
37,PWR,2015-06-30,29.4,28.82,45986198,30.61,28.7
38,PWR,2015-05-29,28.98,29.32,45956887,30.2,27.68
