,symbol,date,open,close,volume,high,low
0,SMI,2018-07-23,6.33,6.12,3130872,6.512,5.91
1,SMI,2018-06-29,6.62,6.5,5095951,7.37,6.32
2,SMI,2018-05-31,6.44,6.56,5111472,7.35,6.3468
3,SMI,2018-04-30,6.75,6.48,4711133,6.8499,6.08
4,SMI,2018-03-29,6.73,6.6,5885429,7.32,6.23
5,SMI,2018-02-28,7.04,6.57,9007697,7.13,5.68
6,SMI,2018-01-31,8.05,7.25,6497320,8.33,7.14
7,SMI,2017-12-29,7.2,8.56,6686551,8.7,6.52
8,SMI,2017-11-30,8.17,6.96,16494521,9.14,6.76
9,SMI,2017-10-31,5.61,7.59,7664657,7.6,5.53
10,SMI,2017-09-29,4.73,5.56,4351376,5.68,4.71
11,SMI,2017-08-31,5.51,4.72,2676641,5.54,4.49
12,SMI,2017-07-31,5.59,5.53,2505176,5.96,5.39
13,SMI,2017-06-30,5.18,5.7,4150810,5.73,4.89
14,SMI,2017-05-31,6.39,5.18,4212142,6.39,5.17
15,SMI,2017-04-28,6.32,6.29,2498036,6.34,5.84
16,SMI,2017-03-31,6.59,6.28,3308495,6.94,6.26
17,SMI,2017-02-28,6.81,6.57,3856439,7.44,6.5
18,SMI,2017-01-31,7.44,6.88,10655543,7.63,6.85
19,SMI,2016-12-30,6.38,7.62,5121180,7.7374,5.88
20,SMI,2016-11-30,6.42,6.69,3262762,7.1893,6.38
21,SMI,2016-10-31,5.57,6.04,2205293,6.41,5.55
22,SMI,2016-09-30,5.48,5.57,2463852,5.7,5.15
23,SMI,2016-08-31,4.1,5.42,3771463,5.85,4.05
24,SMI,2016-07-29,4.05,4.06,893426,4.24,3.9905
25,SMI,2016-06-30,4.18,4.05,1732541,4.51,3.88
26,SMI,2016-05-31,4.11,4.19,1003161,4.33,3.84
27,SMI,2016-04-29,4.3802,4.14,764828,4.53,4.12
28,SMI,2016-03-31,4.24,4.45,918329,4.57,4.24
29,SMI,2016-02-29,4.39,4.13,1414827,4.56,4.03
30,SMI,2016-01-29,4.94,4.31,1356468,4.98,4.1
31,SMI,2015-12-31,5.29,5.05,703356,5.295,4.93
32,SMI,2015-11-30,4.64,5.26,1379655,5.6,4.62
33,SMI,2015-10-30,4.49,4.65,555103,4.88,4.46
34,SMI,2015-09-30,4.19,4.49,1158992,4.71,4.08
35,SMI,2015-08-31,4.4,4.3,1610357,4.88,3.75
36,SMI,2015-07-31,5.39,4.45,2070894,5.4,4.17
37,SMI,2015-06-30,5.62,5.4168,1693903,6.1199,5.31
38,SMI,2015-05-29,5.48,5.66,1366527,5.9,5.02
39,SMI,2015-04-30,4.98,5.47,3940422,6.06,4.93
40,SMI,2015-03-31,4.4,4.73,1426088,4.77,4.1
41,SMI,2015-02-27,4.28,4.37,1603238,4.7,4.24
42,SMI,2015-01-30,4.63,4.23,1000034,4.72,4.23
43,SMI,2014-12-31,5.04,4.52,1692069,5.07,4.5
44,SMI,2014-11-28,5.07,5.13,2222294,5.48,4.52
45,SMI,2014-10-31,5.05,5.14,3239608,5.34,4.72
46,SMI,2014-09-30,4.66,5.09,3608524,5.25,4.57
47,SMI,2014-08-29,4.52,4.6,1353734,4.73,4.29
48,SMI,2014-07-31,4.22,4.55,3300258,4.97,4.22
49,SMI,2014-06-30,4.22,4.22,2279536,4.38,3.88
50,SMI,2014-05-30,4.1,4.2,1344135,4.22,3.96
51,SMI,2014-04-30,3.88,4.15,3176056,4.31,3.75
