,symbol,date,open,close,volume,high,low
0,TSLA,2018-07-23,360.07,303.2,133447428,364.78,292.8601
1,TSLA,2018-06-29,285.86,342.95,213424960,373.73,283.839
2,TSLA,2018-05-31,293.51,284.73,155577968,312.99,273.422
3,TSLA,2018-04-30,256.26,293.9,190345295,309.5,244.5901
4,TSLA,2018-03-29,345.01,266.13,156356878,348.67,248.21
5,TSLA,2018-02-28,351.0,343.06,106577192,359.99,294.76
6,TSLA,2018-01-31,312.0,354.31,122930471,360.5,305.68
7,TSLA,2017-12-29,305.44,311.35,109078772,347.44,300.0
8,TSLA,2017-11-30,332.25,308.85,146750469,332.61,292.63
9,TSLA,2017-10-31,342.52,331.53,121524280,363.0,316.66
10,TSLA,2017-09-29,356.12,341.1,110620352,389.61,335.4
11,TSLA,2017-08-31,323.0,355.9,132609393,370.0,311.22
12,TSLA,2017-07-31,370.24,323.47,180152458,371.35,303.13
13,TSLA,2017-06-30,344.0,361.61,183792656,386.99,334.21
14,TSLA,2017-05-31,314.88,341.01,145440756,342.89,290.76
15,TSLA,2017-04-28,286.9,314.07,116249563,314.8,284.58
16,TSLA,2017-03-31,254.18,278.3,107048530,282.0,242.78
17,TSLA,2017-02-28,253.05,249.99,119540302,287.39,242.01
18,TSLA,2017-01-31,214.86,251.93,100683220,258.46,210.96
19,TSLA,2016-12-30,188.25,213.69,87993345,223.8,180.0
20,TSLA,2016-11-30,198.04,189.4,98886097,199.35,178.19
21,TSLA,2016-10-31,212.3,197.73,92133590,215.6688,192.0
22,TSLA,2016-09-30,209.01,204.03,70644512,211.0999,193.45
23,TSLA,2016-08-31,235.5,212.01,62291339,236.63,208.65
24,TSLA,2016-07-29,206.14,234.79,74068654,235.28,206.0
25,TSLA,2016-06-30,221.48,212.28,121687759,240.845,187.87
26,TSLA,2016-05-31,241.5,223.23,103313344,243.19,203.6572
27,TSLA,2016-04-29,244.825,240.76,135507264,269.34,233.25
28,TSLA,2016-03-31,194.25,229.77,102729544,239.88,181.5
29,TSLA,2016-02-29,188.76,191.93,133705697,199.52,141.05
30,TSLA,2016-01-29,230.72,191.2,79247152,231.38,182.41
31,TSLA,2015-12-31,231.06,240.01,59852189,243.634,214.87
32,TSLA,2015-11-30,208.92,230.26,78487987,234.5843,205.8
33,TSLA,2015-10-30,247.51,206.93,100854710,249.84,202.0
34,TSLA,2015-09-30,240.34,248.4,80218666,271.57,236.97
35,TSLA,2015-08-31,266.29,249.06,113858937,271.0,195.0
36,TSLA,2015-07-31,271.11,266.15,80060910,286.65,250.79
37,TSLA,2015-06-30,251.41,268.26,65473162,271.41,245.68
38,TSLA,2015-05-29,229.94,250.8,89127783,252.8677,220.25
39,TSLA,2015-04-30,188.7,226.05,98945034,238.75,186.05
40,TSLA,2015-03-31,202.7,188.77,122990032,206.19,181.4
41,TSLA,2015-02-27,203.97,203.34,106717638,225.48,193.28
42,TSLA,2015-01-30,222.87,203.6,90121332,223.25,185.0
43,TSLA,2014-12-31,241.16,222.41,127100337,242.47,192.65
44,TSLA,2014-11-28,243.0,244.52,107731050,259.99,228.5
45,TSLA,2014-10-31,242.2,241.7,152148180,265.54,217.32
