,symbol,date,open,close,volume,high,low
0,URBN,2018-07-23,44.39,46.46,20565494,47.35,43.3831
1,URBN,2018-06-29,41.82,44.55,49386353,48.24,41.55
2,URBN,2018-05-31,40.03,41.54,55488266,43.58,37.81
3,URBN,2018-04-30,36.94,40.27,53217665,40.94,36.07
4,URBN,2018-03-29,35.17,36.96,50945882,38.28,34.33
5,URBN,2018-02-28,33.89,35.29,43845530,38.06,31.2
6,URBN,2018-01-31,35.06,34.11,53280848,36.1,31.6
7,URBN,2017-12-29,31.19,35.06,56548104,35.86,30.835
8,URBN,2017-11-30,24.45,31.12,79493214,33.21,23.83
9,URBN,2017-10-31,23.83,24.52,50589023,25.15,21.76
10,URBN,2017-09-29,20.47,23.9,58464468,24.66,20.46
11,URBN,2017-08-31,19.71,20.44,134405495,21.71,16.68
12,URBN,2017-07-31,18.67,19.59,56419397,19.66,17.39
13,URBN,2017-06-30,18.98,18.54,89311736,19.77,16.19
14,URBN,2017-05-31,22.97,18.87,73800982,23.99,18.55
15,URBN,2017-04-28,23.77,22.88,51394936,23.93,21.83
16,URBN,2017-03-31,26.12,23.76,110739438,27.07,22.06
17,URBN,2017-02-28,26.67,26.03,41195630,27.86,25.43
18,URBN,2017-01-31,28.82,26.54,49860972,29.54,25.6
19,URBN,2016-12-30,31.35,28.48,50298328,35.55,28.27
20,URBN,2016-11-30,33.45,31.6,82338814,40.8,31.44
21,URBN,2016-10-31,34.56,33.45,37919697,37.22,33.11
22,URBN,2016-09-30,35.79,34.52,45581213,37.0,34.16
23,URBN,2016-08-31,30.0,35.85,66290255,37.82,27.82
24,URBN,2016-07-29,27.4,29.9,35008727,30.86,27.24
25,URBN,2016-06-30,28.4,27.5,50825707,29.65,25.04
26,URBN,2016-05-31,30.31,28.53,60563018,30.31,24.29
27,URBN,2016-04-29,33.97,30.32,45131430,34.77,28.76
28,URBN,2016-03-31,26.7,33.09,56008619,33.92,26.47
29,URBN,2016-02-29,22.78,26.49,46216877,27.74,22.34
30,URBN,2016-01-29,22.4,22.88,41520764,23.15,20.06
31,URBN,2015-12-31,22.39,22.75,63464218,23.915,20.78
32,URBN,2015-11-30,28.63,22.4,99510744,30.01,19.26
33,URBN,2015-10-30,29.47,28.6,40218135,31.765,27.23
34,URBN,2015-09-30,30.31,29.38,35351291,31.57,28.49
35,URBN,2015-08-31,32.56,30.86,51244685,33.32,28.22
36,URBN,2015-07-31,35.06,32.62,36427954,36.99,32.12
37,URBN,2015-06-30,34.62,35.0,50830550,36.93,34.23
38,URBN,2015-05-29,40.16,34.38,77035454,41.49,33.33
39,URBN,2015-04-30,45.52,40.04,39647992,45.94,39.75
40,URBN,2015-03-31,38.92,45.65,49986295,47.25,38.35
41,URBN,2015-02-27,34.92,38.96,23437686,39.74,34.21
42,URBN,2015-01-30,35.26,34.86,38039750,36.99,32.58
43,URBN,2014-12-31,32.0,35.13,50740320,35.85,29.91
44,URBN,2014-11-28,30.3,32.32,68695314,33.62,27.89
45,URBN,2014-10-31,36.61,30.36,67138704,36.92,29.11
46,URBN,2014-09-30,39.85,36.7,36184566,40.31,36.49
47,URBN,2014-08-29,35.69,39.79,48972900,40.67,35.21
48,URBN,2014-07-31,32.65,35.73,38521500,36.215,32.6201
49,URBN,2014-06-30,33.44,33.86,48765900,34.83,32.94
