,symbol,date,open,close,volume,high,low
0,VIPS,2018-07-13,10.66,10.24,54396923,11.13,9.95
1,VIPS,2018-06-29,11.68,10.85,201460946,12.6,10.0
2,VIPS,2018-05-31,15.39,11.68,262734168,16.14,11.495
3,VIPS,2018-04-30,16.46,15.48,140398326,17.435,14.41
4,VIPS,2018-03-29,17.41,16.62,217181839,18.99,15.925
5,VIPS,2018-02-28,16.08,17.39,252815844,19.14,14.3
6,VIPS,2018-01-31,11.8,16.53,289505976,17.75,11.73
7,VIPS,2017-12-29,8.17,11.72,224937223,12.6,8.09
8,VIPS,2017-11-30,8.01,8.23,146754162,10.25,7.9
9,VIPS,2017-10-31,8.9,7.9,179415559,8.92,7.79
10,VIPS,2017-09-29,9.4,8.79,151717998,10.13,8.75
11,VIPS,2017-08-31,12.4,9.31,228747050,12.4,8.72
12,VIPS,2017-07-31,10.41,12.3,152783018,12.5,9.94
13,VIPS,2017-06-30,12.46,10.55,146258672,14.35,10.5
14,VIPS,2017-05-31,13.87,12.37,101002417,15.49,12.22
15,VIPS,2017-04-28,13.38,13.87,65567792,14.3,12.55
16,VIPS,2017-03-31,13.1,13.34,124708567,14.5,12.76
17,VIPS,2017-02-28,11.41,13.01,117387556,13.8,11.31
18,VIPS,2017-01-31,11.1,11.32,102455471,11.78,10.5
19,VIPS,2016-12-30,11.25,11.01,98195069,12.105,10.84
20,VIPS,2016-11-30,13.74,11.22,181311847,14.355,10.61
21,VIPS,2016-10-31,14.62,13.67,122862774,16.24,13.31
22,VIPS,2016-09-30,14.23,14.67,137953928,15.48,13.1
23,VIPS,2016-08-31,14.29,14.16,190366480,17.41,13.47
24,VIPS,2016-07-29,11.28,14.23,124323076,14.47,10.97
25,VIPS,2016-06-30,11.61,11.17,149730151,12.18,10.3
26,VIPS,2016-05-31,13.58,11.67,223989048,13.67,10.21
27,VIPS,2016-04-29,12.84,13.64,133525173,15.03,12.62
28,VIPS,2016-03-31,11.38,12.88,192672229,13.41,10.66
29,VIPS,2016-02-29,12.66,11.11,221764806,13.51,10.365
30,VIPS,2016-01-29,14.37,12.84,206195351,15.34,11.31
31,VIPS,2015-12-31,16.37,15.27,171051587,17.53,14.64
32,VIPS,2015-11-30,20.6,16.53,498382538,22.31,12.015
33,VIPS,2015-10-30,16.74,20.52,149406239,20.8398,16.011
34,VIPS,2015-09-30,17.26,16.8,190204883,18.27,15.38
35,VIPS,2015-08-31,19.13,17.99,242124538,22.47,14.68
36,VIPS,2015-07-31,22.22,19.49,178471808,23.56,18.3401
37,VIPS,2015-06-30,24.97,22.25,160090935,26.17,21.3
38,VIPS,2015-05-29,28.3,24.97,251486581,29.23,22.7
39,VIPS,2015-04-30,29.55,28.29,104674750,30.72,28.09
40,VIPS,2015-03-31,24.44,29.44,131014836,29.79,23.98
41,VIPS,2015-02-27,22.45,24.45,117297239,26.2,20.96
42,VIPS,2015-01-30,19.26,22.39,108472679,24.05,19.18
43,VIPS,2014-12-31,22.73,19.54,139337669,22.73,18.81
44,VIPS,2014-11-28,22.86,22.86,156172582,22.86,20.59
45,VIPS,2014-10-31,18.762999999999998,22.929,23292913,22.929,16.95
46,VIPS,2014-09-30,19.761000000000003,18.901,23384547,21.685000000000002,18.87
47,VIPS,2014-08-29,20.716,19.663,25353691,22.949,19.368080000000003
48,VIPS,2014-07-31,18.921,20.554,16535949,21.740999999999996,17.755
49,VIPS,2014-06-30,16.153000000000002,18.774,22695821,19.098,16.02
50,VIPS,2014-05-30,14.002,16.266,29582013,17.516,13.027999999999999
51,VIPS,2014-04-30,15.461000000000002,14.019,28208350,16.199,12.301000000000002
52,VIPS,2014-03-31,12.978999999999997,14.93,41390880,18.2,12.129999999999999
53,VIPS,2014-02-28,10.403,13.132,16534313,13.288,9.375
54,VIPS,2014-01-31,8.262,10.509,23959788,10.967,8.020999999999999
55,VIPS,2013-12-31,8.304,8.368,18359236,8.59,7.1290000000000004
56,VIPS,2013-11-29,7.024,8.311,21329929,9.120000000000001,6.724
57,VIPS,2013-10-31,5.754999999999999,6.893,25891507,7.779999999999999,5.696999999999999
58,VIPS,2013-09-30,4.409000000000001,5.68,20954379,6.375,4.12332
59,VIPS,2013-08-30,4.3340000000000005,4.33,17108246,5.043,3.808
60,VIPS,2013-07-31,2.962,4.212,12083699,4.487,2.76901
61,VIPS,2013-06-28,2.9819999999999998,2.916,11822168,3.399,2.326
62,VIPS,2013-05-31,3.056,2.997,17929245,3.846,2.854
63,VIPS,2013-04-30,3.0250000000000004,3.079,8501684,3.2479999999999998,2.6670000000000003
64,VIPS,2013-03-28,2.65,3.037,11974716,3.23999,2.327
65,VIPS,2013-02-28,1.8550000000000002,2.588,6691771,2.849,1.8030000000000002
66,VIPS,2013-01-31,1.7989999999999997,1.857,3411472,2.2809999999999997,1.565
67,VIPS,2012-12-31,1.361,1.784,3003901,1.931,1.175
68,VIPS,2012-11-30,1.0250000000000001,1.374,2595262,1.3960000000000001,0.9900000000000001
69,VIPS,2012-10-31,0.7499999999999999,1.003,1944231,1.0669,0.719
70,VIPS,2012-09-28,0.6000000000000001,0.75,975366,0.767,0.572
71,VIPS,2012-08-31,0.5599999999999999,0.6,937208,0.6099999999999999,0.4759999999999999
72,VIPS,2012-07-31,0.6050000000000001,0.556,470342,0.6330000000000001,0.5090000000000001
73,VIPS,2012-06-29,0.54,0.61,1597594,0.638,0.528
74,VIPS,2012-05-31,0.545,0.55,1672106,0.5820000000000001,0.431
75,VIPS,2012-04-30,0.435,0.54,3302160,0.61,0.41200000000000003
