,symbol,date,open,close,volume,high,low
0,VRTX,2018-07-13,168.4,180.5,13234408,181.6,164.7
1,VRTX,2018-06-29,154.86,169.96,44252905,172.0,144.07
2,VRTX,2018-05-31,153.14,154.0,29912593,158.46,145.78
3,VRTX,2018-04-30,161.53,153.16,31930436,166.12,152.605
4,VRTX,2018-03-29,165.68,162.98,30675286,178.25,158.36
5,VRTX,2018-02-28,174.11,166.03,39265641,174.955,146.21
6,VRTX,2018-01-31,150.0,166.87,35510352,171.26,147.72
7,VRTX,2017-12-29,143.09,149.86,28863318,152.7,136.5
8,VRTX,2017-11-30,147.35,144.29,26597853,152.0,142.01
9,VRTX,2017-10-31,151.23,146.23,34863928,158.04,139.05
10,VRTX,2017-09-29,160.76,152.04,29645308,163.64,147.3
11,VRTX,2017-08-31,153.03,160.54,28009302,160.85,147.18
12,VRTX,2017-07-31,129.49,151.82,54258019,167.86,125.5
13,VRTX,2017-06-30,124.0,128.87,42878378,137.26,120.77
14,VRTX,2017-05-31,118.98,123.6,35501779,123.78,113.66
15,VRTX,2017-04-28,109.01,118.3,37070563,120.5,107.24
16,VRTX,2017-03-31,91.8,109.35,34705488,111.88,88.87
17,VRTX,2017-02-28,85.98,90.62,28673630,91.95,84.33
18,VRTX,2017-01-31,74.43,85.87,39586477,87.91,73.34
19,VRTX,2016-12-30,81.85,73.67,42198698,82.53,71.46
20,VRTX,2016-11-30,75.09,81.61,43615982,97.93,73.305
21,VRTX,2016-10-31,86.46,75.86,40009954,88.24,74.95
22,VRTX,2016-09-30,95.03,87.21,33941896,98.05,83.5
23,VRTX,2016-08-31,97.31,94.51,25455711,103.73,94.01
24,VRTX,2016-07-29,85.67,97.0,28003607,98.5,85.17
25,VRTX,2016-06-30,92.9,86.02,34504473,96.49,79.59
26,VRTX,2016-05-31,84.24,93.15,36687900,93.6,80.25
27,VRTX,2016-04-29,79.02,84.34,50668496,91.78,75.92
28,VRTX,2016-03-31,86.13,79.49,47891799,93.42,75.9
29,VRTX,2016-02-29,91.92,85.49,53850229,96.35,78.51
30,VRTX,2016-01-29,123.03,90.75,61251111,124.96,81.98
31,VRTX,2015-12-31,131.0,125.83,33724223,132.81,113.73
32,VRTX,2015-11-30,123.6,129.36,28392608,134.71,116.78
33,VRTX,2015-10-30,103.2,124.74,50968759,129.13,101.4875
34,VRTX,2015-09-30,124.07,104.14,46460303,136.97,97.45
35,VRTX,2015-08-31,134.88,127.52,37014231,143.45,112.89
36,VRTX,2015-07-31,124.11,135.0,39055315,136.36,120.88
37,VRTX,2015-06-30,128.48,123.48,28043377,132.98,121.39
38,VRTX,2015-05-29,123.92,128.29,31623489,131.42,121.0166
39,VRTX,2015-04-30,117.59,123.28,31212270,137.5,113.68
40,VRTX,2015-03-31,120.62,117.97,44385002,136.33,116.61
41,VRTX,2015-02-27,110.31,119.43,27548352,121.5,103.75
42,VRTX,2015-01-30,119.97,110.14,33222131,127.69,110.0
43,VRTX,2014-12-31,117.89,118.8,37264866,124.35,108.7
44,VRTX,2014-11-28,112.64,117.88,25025183,120.91,109.34
45,VRTX,2014-10-31,112.88,112.64,40746828,115.24,96.43
46,VRTX,2014-09-30,94.29,112.31,41366475,116.88,90.99
47,VRTX,2014-08-29,89.6,93.57,24739800,94.5,84.41
48,VRTX,2014-07-31,93.87,88.91,39251000,99.74,88.11
49,VRTX,2014-06-30,72.16,94.68,68270500,98.8,63.68
50,VRTX,2014-05-30,67.54,72.26,30441600,73.48,62.405
51,VRTX,2014-04-30,71.32,67.7,34927400,73.12,59.79
52,VRTX,2014-03-31,80.25,70.72,30484200,83.82,67.49
53,VRTX,2014-02-28,78.5,80.86,30399900,86.12,75.89
54,VRTX,2014-01-31,74.07,79.04,35778100,87.77,72.88
55,VRTX,2013-12-31,69.6,74.3,31288100,74.7,63.65
56,VRTX,2013-11-29,70.16,69.42,46236600,70.69,58.06
57,VRTX,2013-10-31,76.02,71.35,42131100,78.38,68.71
58,VRTX,2013-09-30,76.2,75.82,77560000,82.74,73.43
59,VRTX,2013-08-30,80.59,75.15,26580400,81.98,74.67
60,VRTX,2013-07-31,81.44,79.8,34867200,89.96,78.815
