,symbol,date,open,close,volume,high,low
0,WAT,2018-07-13,192.25,198.09,3835179,200.69,191.52
1,WAT,2018-06-29,194.11,193.59,14663543,210.02,190.345
2,WAT,2018-05-31,188.36,192.62,12521606,197.73,187.28
3,WAT,2018-04-30,198.81,188.41,12854784,211.78,188.36
4,WAT,2018-03-29,204.81,198.65,9772409,215.34,196.2
5,WAT,2018-02-28,214.16,204.64,9623146,218.66,187.66
6,WAT,2018-01-31,194.12,215.61,11191427,220.2,193.6
7,WAT,2017-12-29,197.45,193.19,8137577,201.95,192.48
8,WAT,2017-11-30,197.3,197.17,7553840,200.71,191.84
9,WAT,2017-10-31,179.71,196.05,11918679,199.78,179.27
10,WAT,2017-09-29,183.66,179.52,9117601,190.39,177.58
11,WAT,2017-08-31,173.91,183.48,9383156,183.9,173.91
12,WAT,2017-07-31,184.98,173.44,11016794,185.98,171.32
13,WAT,2017-06-30,180.55,183.84,9814810,187.65,179.18
14,WAT,2017-05-31,171.48,179.62,10680801,181.03,169.34
15,WAT,2017-04-28,156.39,169.89,9112982,174.68,154.15
16,WAT,2017-03-31,156.12,156.31,9821956,158.81,152.05
17,WAT,2017-02-28,142.04,154.99,9770435,157.72,141.46
18,WAT,2017-01-31,135.05,141.65,18435890,149.75,134.68
19,WAT,2016-12-30,134.44,134.39,10894979,141.93,133.35
20,WAT,2016-11-30,139.15,134.57,13300719,145.27,133.9
21,WAT,2016-10-31,157.35,139.14,14411379,160.0,136.61
22,WAT,2016-09-30,157.42,158.49,10071207,160.26,150.08
23,WAT,2016-08-31,158.9,157.31,10028262,162.53,155.95
24,WAT,2016-07-29,140.58,158.93,9113163,159.46,140.5
25,WAT,2016-06-30,137.08,140.65,9306368,140.75,131.35
26,WAT,2016-05-31,130.88,137.55,9849442,138.3175,129.69
27,WAT,2016-04-29,130.91,130.16,13508617,138.915,128.9
28,WAT,2016-03-31,121.09,131.92,11002840,132.87,120.52
29,WAT,2016-02-29,121.68,120.31,9353838,123.27,112.0
30,WAT,2016-01-29,132.56,121.21,13387705,133.02,115.71
31,WAT,2015-12-31,133.33,134.58,9481491,136.95,126.88
32,WAT,2015-11-30,128.21,132.82,10016030,134.83,127.54
33,WAT,2015-10-30,118.13,127.8,10398227,129.93,115.21
34,WAT,2015-09-30,119.11,118.21,10257197,125.96,113.98
35,WAT,2015-08-31,133.42,121.38,10761982,136.17,115.32
36,WAT,2015-07-31,129.28,133.49,10111104,134.39,125.03
37,WAT,2015-06-30,134.04,128.38,10323292,137.39,127.72
38,WAT,2015-05-29,125.99,133.62,10322915,135.8999,125.34
39,WAT,2015-04-30,124.02,125.19,8710783,129.41,120.79
40,WAT,2015-03-31,120.17,124.32,8712102,125.86,116.83
41,WAT,2015-02-27,119.0,120.38,6341818,122.25,117.16
42,WAT,2015-01-30,113.57,119.05,9743457,122.8,111.77
43,WAT,2014-12-31,115.45,112.72,8983855,117.57,110.85
44,WAT,2014-11-28,111.0,115.9,8390623,117.71,110.7
45,WAT,2014-10-31,99.3,110.8,17185670,112.4,93.56
46,WAT,2014-09-30,103.48,99.12,9709847,104.6,99.08
47,WAT,2014-08-29,103.21,103.43,6998803,105.13,102.08
48,WAT,2014-07-31,104.93,103.44,9489749,108.89,99.16
49,WAT,2014-06-30,100.23,104.44,10180100,107.4,100.11
50,WAT,2014-05-30,98.18,100.16,16323200,105.67,97.86
51,WAT,2014-04-30,108.86,98.54,13761900,114.36,97.895
52,WAT,2014-03-31,110.7,108.41,9454400,114.59,106.77
53,WAT,2014-02-28,108.45,111.4,10303100,115.06,104.41
54,WAT,2014-01-31,100.0,108.27,15139500,111.0,97.895
55,WAT,2013-12-31,99.57,100.0,10052200,100.85,94.5
56,WAT,2013-11-29,100.85,99.53,6627500,102.35,98.34
57,WAT,2013-10-31,106.58,100.92,12846700,107.13,98.54
58,WAT,2013-09-30,100.21,106.21,7597200,108.89,99.41
59,WAT,2013-08-30,101.93,98.85,8051600,103.95,97.53
60,WAT,2013-07-31,100.55,100.94,11584900,106.0,97.845
61,WAT,2013-06-28,97.09,100.05,9505600,102.69,95.45
62,WAT,2013-05-31,92.29,96.71,11251500,99.66,92.04
63,WAT,2013-04-30,93.85,92.4,11832100,96.25,87.85
64,WAT,2013-03-28,92.32,93.91,6635400,95.41,91.56
65,WAT,2013-02-28,92.5,92.72,7675400,93.67,89.74
66,WAT,2013-01-31,88.96,91.57,11638500,93.7499,85.01
67,WAT,2012-12-31,84.73,87.12,9552300,89.51,83.59
68,WAT,2012-11-30,82.0,84.55,9419600,86.0,80.04
69,WAT,2012-10-31,83.65,81.81,9963800,85.18,78.33
70,WAT,2012-09-28,80.06,83.33,11106500,85.922,78.8
71,WAT,2012-08-31,77.81,80.19,16601300,80.65,74.36
72,WAT,2012-07-31,79.47,77.48,16660600,80.34,74.12
73,WAT,2012-06-29,78.33,79.47,19409400,83.11,75.23
74,WAT,2012-05-31,83.94,79.78,20391600,85.28,79.44
75,WAT,2012-04-30,92.69,84.11,17591400,94.47,78.0
76,WAT,2012-03-30,89.58,92.66,13759700,94.42,87.028
77,WAT,2012-02-29,87.1,89.6,13799700,91.09,86.73
78,WAT,2012-01-31,76.06,86.57,25611800,88.54,72.98
79,WAT,2011-12-30,79.67,74.05,14285800,81.99,70.88
80,WAT,2011-11-30,77.72,80.0,14404500,81.59,72.06
81,WAT,2011-10-31,75.0,80.12,26521600,83.68,72.43
82,WAT,2011-09-30,80.08,75.49,24258500,84.51,73.07
83,WAT,2011-08-31,88.64,79.87,32640500,88.65,71.12
84,WAT,2011-07-29,95.98,87.89,17915000,99.37,85.82
85,WAT,2011-06-30,98.17,95.74,13945400,98.35,90.59
86,WAT,2011-05-31,98.62,98.56,13697400,99.94,94.86
87,WAT,2011-04-29,87.69,98.0,12668500,100.0,85.3
88,WAT,2011-03-31,83.32,86.9,16309700,87.57,79.16
89,WAT,2011-02-28,76.96,83.05,16821000,83.79,74.15
90,WAT,2011-01-31,78.3,76.39,14915200,79.29,74.27
91,WAT,2010-12-31,78.06,77.71,13283200,81.0,77.52
92,WAT,2010-11-30,74.61,76.87,14306900,78.91,74.24
93,WAT,2010-10-29,71.39,74.13,13434600,74.62,69.59
94,WAT,2010-09-30,61.38,70.78,14768200,72.26,61.14
95,WAT,2010-08-31,64.8,60.52,18823700,67.01,60.01
96,WAT,2010-07-30,64.72,64.16,20834900,67.5,61.99
97,WAT,2010-06-30,67.86,64.7,23799100,72.99,64.6
98,WAT,2010-05-28,72.0,68.44,28478800,72.98,62.02
99,WAT,2010-04-30,67.73,71.99,20001000,73.78,66.2958
100,WAT,2010-03-31,59.97,67.54,23068400,68.33,59.92
101,WAT,2010-02-26,57.22,59.66,18108300,61.54,55.97
102,WAT,2010-01-29,62.5,56.98,18567900,62.9,56.97
103,WAT,2009-12-31,59.24,61.96,14055100,63.09,58.62
104,WAT,2009-11-30,57.43,58.78,20037700,61.45,57.08
105,WAT,2009-10-30,55.81,57.43,23394100,59.07,53.5
106,WAT,2009-09-30,50.21,55.86,17956800,57.32,49.34
107,WAT,2009-08-31,50.59,50.28,14657100,52.95,49.44
108,WAT,2009-07-31,51.74,50.25,20220300,53.32,47.57
109,WAT,2009-06-30,43.75,51.47,25300400,51.72,43.61
110,WAT,2009-05-29,44.46,43.32,20637300,46.12,42.35
111,WAT,2009-04-30,36.55,44.17,32238200,45.83,34.23
112,WAT,2009-03-31,34.95,36.95,42101100,38.78,30.0
113,WAT,2009-02-27,35.63,35.22,27520500,41.96,34.69
114,WAT,2009-01-30,36.7,36.17,31214800,39.3,35.39
115,WAT,2008-12-31,40.29,36.65,35397300,42.69,32.21
116,WAT,2008-11-28,43.79,41.23,26551200,46.77,33.94
117,WAT,2008-10-31,57.91,43.8,39139200,58.61,37.0
118,WAT,2008-09-30,68.59,58.18,27435100,70.53,53.1
119,WAT,2008-08-29,67.72,68.25,13928200,71.0,66.15
120,WAT,2008-07-31,64.13,67.94,26609800,70.31,62.07
121,WAT,2008-06-30,61.59,64.5,19285200,65.34,59.3
122,WAT,2008-05-30,61.85,61.52,17196300,64.75,61.0
123,WAT,2008-04-30,56.0,61.46,29777600,62.42,52.05
124,WAT,2008-03-31,59.77,55.7,31574900,61.54,51.92
125,WAT,2008-02-29,57.07,59.61,24522900,62.46,56.75
