,symbol,date,open,close,volume,high,low
0,WB,2018-07-23,85.83,88.36,21760080,92.985,85.66
1,WB,2018-06-29,102.0,88.76,55268022,112.03,85.33
2,WB,2018-05-31,114.01,101.91,69661238,128.17,99.01
3,WB,2018-04-30,119.31,114.52,32763868,125.39,108.08
4,WB,2018-03-29,129.45,119.54,38406096,139.41,113.13
5,WB,2018-02-28,127.75,128.52,47017983,142.12,108.7
6,WB,2018-01-31,104.61,129.57,35967635,136.19,104.6
7,WB,2017-12-29,106.96,103.46,28819960,109.7628,97.49
8,WB,2017-11-30,93.72,108.56,50276761,123.0,93.61
9,WB,2017-10-31,100.49,92.65,33153496,105.5,89.3
10,WB,2017-09-29,101.15,98.94,41651023,108.3,93.94
11,WB,2017-08-31,77.81,101.1,64485685,101.2,74.51
12,WB,2017-07-31,67.03,76.95,32335088,78.98,66.35
13,WB,2017-06-30,73.39,66.47,56423213,80.19,65.65
14,WB,2017-05-31,56.12,73.53,76815238,82.28,53.76
15,WB,2017-04-28,52.49,55.86,22457821,57.47,48.82
16,WB,2017-03-31,51.57,52.18,30180223,53.72,47.36
17,WB,2017-02-28,48.45,50.52,39092313,58.79,47.15
18,WB,2017-01-31,41.33,48.22,22491679,49.43,41.04
19,WB,2016-12-30,50.81,40.6,34886337,50.82,40.12
20,WB,2016-11-30,46.25,51.31,59287512,52.49,41.26
21,WB,2016-10-31,50.64,46.01,35824586,55.93,45.92
22,WB,2016-09-30,47.45,50.14,35169008,52.29,45.5
23,WB,2016-08-31,32.59,47.77,38863839,52.29,32.19
24,WB,2016-07-29,28.56,32.54,19666495,34.2136,28.1
25,WB,2016-06-30,26.42,28.41,28049500,29.49,25.78
26,WB,2016-05-31,24.46,26.59,28371102,26.63,21.23
27,WB,2016-04-29,17.82,24.47,26359462,24.79,17.73
28,WB,2016-03-31,14.61,17.95,17512835,19.1,14.46
29,WB,2016-02-29,15.07,14.36,10847627,15.83,12.09
30,WB,2016-01-29,18.74,15.22,11737704,19.41,14.7
31,WB,2015-12-31,18.62,19.5,10960227,20.56,18.063
32,WB,2015-11-30,16.14,18.6,12456091,18.94,15.89
33,WB,2015-10-30,11.76,16.12,11260295,17.25,11.36
34,WB,2015-09-30,11.66,11.69,7469729,12.7,10.9
35,WB,2015-08-31,13.99,12.13,15647534,14.7,8.78
36,WB,2015-07-31,17.06,14.03,21077400,17.3,12.5
37,WB,2015-06-30,15.92,17.14,25826774,20.7,15.92
38,WB,2015-05-29,16.75,15.85,12550011,17.36,14.94
39,WB,2015-04-30,12.94,16.68,18495934,17.82,12.9
40,WB,2015-03-31,13.32,12.89,13928087,15.39,12.65
41,WB,2015-02-27,12.42,13.34,8736601,14.2199,12.11
42,WB,2015-01-30,14.29,12.44,7923904,14.8,12.31
43,WB,2014-12-31,17.71,14.24,13816217,18.01,13.88
44,WB,2014-11-28,18.5,17.95,13625611,20.48,17.72
45,WB,2014-10-31,18.59,18.51,17990526,19.12,16.724
46,WB,2014-09-30,20.0,18.69,46403006,26.08,18.64
47,WB,2014-08-29,19.56,19.92,15484382,21.48,18.98
48,WB,2014-07-31,20.63,19.56,20822210,22.4799,18.68
49,WB,2014-06-30,18.56,20.48,25998336,21.85,18.06
50,WB,2014-05-30,19.51,18.52,32493601,20.6599,17.38
